,Placename,Enitity,File,__mappify_error,Latitude,Longitude,State,median_dist
0,Edeepest,LOCATION,18860126-195-65604709 (1 of 2).txt,No match found.,,,None,
1,Argent Valley,LOCATION,18961212-1251-232578923 (1 of 1).txt,No match found.,,,None,
2,West Oolcbrook,LOCATION,18961212-1251-232578923 (1 of 1).txt,No match found.,,,None,
3,North Colebrook,LOCATION,18961212-1251-232578923 (1 of 1).txt,No match found.,,,None,
4,Colebrook,LOCATION,18961212-1251-232578923 (1 of 1).txt,No match found.,147.48524825,-34.0759725,NSW,2.6461269954894084
5,New York,LOCATION,18801230-10-8991754 (1 of 1).txt,No match found.,121.90635,-23.739505,WA,9.552659809064963
6,San Francisco,LOCATION,18801230-10-8991754 (1 of 1).txt,No match found.,,,None,
7,Sydney,LOCATION,18801230-10-8991754 (1 of 1).txt,No match found.,151.20944444444444,-33.865,NSW,0.0026851851851835327
8,Olive,LOCATION,18840314-436-254369866 (1 of 1).txt,No match found.,141.87055555555557,-29.087777777777777,NSW,3.454582408634788
9,Yackandandah,LOCATION,18840314-436-254369866 (1 of 1).txt,No match found.,146.839861111111,-36.31263733,VIC,0.02059932623230638
10,Jindera,LOCATION,18840314-436-254369866 (1 of 1).txt,No match found.,146.88444444444443,-35.965,NSW,0.02222222222222096
11,Victoria,LOCATION,18660113-697-166663015 (2 of 12).txt,No match found.,148.13444444444443,-33.930277777777775,NSW,4.494904880681709
12,South Australia,LOCATION,18660113-697-166663015 (2 of 12).txt,No match found.,137.305178,-32.4907365,SA,3.424218638749024
13,New South Wales,LOCATION,18660113-697-166663015 (2 of 12).txt,No match found.,147.01777777777778,-32.16166666666666,NSW,0.0
14,Sydney,LOCATION,18910711-906-194111451 (1 of 1).txt,No match found.,151.20944444444444,-33.865,NSW,0.0026851851851835327
15,Williamstown,LOCATION,18630202-13-6483150 (1 of 1).txt,No match found.,141.8903038888885,-36.35775166666665,Ambiguous,3.7069560909728128
16,North Melbourne,LOCATION,18630202-13-6483150 (1 of 1).txt,No match found.,144.946527777777,-37.80291748,VIC,0.006746413465021048
17,Darlinghurst Gaol,LOCATION,18950225-30-4550862 (2 of 2).txt,No match found.,151.218,-33.8793,No best estimate,0.0
18,Riverina,LOCATION,18950225-30-4550862 (2 of 2).txt,No match found.,115.8173,-33.25685,WA,2.0984653168303855
19,Sydney,LOCATION,18751103-558-150640085 (1 of 1).txt,No match found.,151.20944444444444,-33.865,NSW,0.0026851851851835327
20,Gonlbum,LOCATION,18751103-558-150640085 (1 of 1).txt,No match found.,,,None,
21,China,LOCATION,18751103-558-150640085 (1 of 1).txt,No match found.,146.1037445,-32.41127507,Ambiguous,6.868061837838552
22,Galle,LOCATION,18751103-558-150640085 (1 of 1).txt,No match found.,140.6945,-34.9995,Ambiguous,5.734665170094849
23,Australia,LOCATION,18751103-558-150640085 (1 of 1).txt,No match found.,137.13828,-28.61389,Ambiguous,0.0
24,Australia,LOCATION,18751103-558-150640085 (1 of 1).txt,No match found.,137.13828,-28.61389,Ambiguous,0.0
25,BLAYNEY,LOCATION,18960114-35-14033182 (3 of 14).txt,No match found.,149.2511111111111,-33.531666666666666,NSW,0.0
26,tho Club,LOCATION,18750710-52-70583765 (1 of 2).txt,No match found.,148.0700073,-42.58000183,TAS,0.0
27,Creek Reservoir,LOCATION,18690603-185-112889580 (1 of 1).txt,No match found.,145.54652555,-37.258470535,Ambiguous,3.1278225921143776
28,Sydney,LOCATION,18970225-1093-209084622 (2 of 4).txt,No match found.,151.20944444444444,-33.865,NSW,0.0026851851851835327
29,Dungogan,LOCATION,18970225-1093-209084622 (2 of 4).txt,No match found.,151.16777777777776,-31.231666666666666,NSW,0.10090154255649024
30,Maitland,LOCATION,18970225-1093-209084622 (2 of 4).txt,No match found.,151.5511111111111,-32.748333333333335,Ambiguous,5.609266809914711
31,Temperance Hall,LOCATION,18910311-250-252178966 (2 of 3).txt,No match found.,,,None,
32,Peninsula,LOCATION,18691231-966-197653325 (3 of 5).txt,No match found.,116.0693,-31.96788,WA,2.6280637238162328
