ID,Author,Title,Place,Publisher,begin,end,Form,"Link (Trove, Digitised Pamphlet etc.)",Word Count,Place,PlaceNoState,Latitiude,Longitude
401,Unknown,Biography of Frederick Bayley Deeming : a romance of crime.,"Melbourne, VIC","Printed for the proprietors and publishers, William E.G. Shackle and J.G. Sutton, by the Port Melbourne Tribune Printing and Publishing Compy., Limited",01/01/1892,31/12/1892,Pamphlet,https://viewer.slv.vic.gov.au/?entity=IE4133162&mode=browse,,"Melbourne, VIC",Melbourne,-37.81845472,144.9654453
400,Unknown,"History of the Windsor and Rainhill tragedies : being a full account of the career of Frederick Bailey Deeming, alias Williams, alias Swanston, alias Lawson, alias Ward, alias Lord Dunn, alias Dawson, alias Duncan, alias Drewin, &c., &c.","Adelaide, SA",Frearson's Printing House,01/01/1892,31/12/1892,Pamphlet,http://digital.sl.nsw.gov.au/delivery/DeliveryManagerServlet?embedded=true&toolbar=false&dps_pid=IE12034422&_ga=2.227714077.1429495950.1598082280-930965615.1575973401,,"Adelaide, SA",Adelaide,-34.93097859,138.6002854
399,Unknown,"The life of Deeming, the murderer of women and children.","Melbourne, VIC",Printed and published by John F. Williams,01/01/1892,31/12/1892,Pamphlet,,,"Melbourne, VIC",Melbourne,-37.81845472,144.9654453
398,Unknown,"Life of A.O. Williams, the supposed Rainhill murderer / by one who knew him.",London,"Printed and published for the Proprietor, at 30, Poppin's Court, Fleet Street, London",01/01/1892,31/12/1892,Pamphlet,https://viewer.slv.vic.gov.au/?entity=IE4383122&mode=browse,,London,London,51.51216125,-0.12399355
397,Unknown,"The Criminal of the Century: A Complete History of the Career of Frederick Bailey Deeming, Alias Albert Williams, Alias Baron Swanston, &c. &c. : the Perpetrator of the Windsor (Vic.) and Rainhill Murders",Australia,Australian Mining Standard,01/01/1892,31/12/1892,Pamphlet,https://nla.gov.au/nla.obj-392811473/view?partId=nla.obj-392826615#,,Australia,Australia,,
396,Unknown,"The Rainhill & Melbourne Horrors. Deeming, Sentenced to Death","Sheffield, England",Fred Jones Printer,01/01/1892,31/12/1892,Pamphlet,,,"Sheffield, England",Sheffield England,53.38332837,-1.44591643
1,Unknown,"The complete history of the Windsor tragedy : embracing the career of Frederick Bailey Deeming, alias Albert Williams, alias Baron Swanston, alias Harry Dawson, &c., &c., &c., together with an account of the Rainhill massacre, and the inquest into same ; also, the inquest on the body of Emily Lydia Mather, and the trial and conviction of the murderer at Melbourne.","Melbourne, VIC","Mason, Firth & M'cutcheon",01/01/1892,31/12/1892,Book,,,"Melbourne, VIC",Melbourne,-37.81845472,144.9654453
7,Unknown,SKETCHES OF THE WINDSOR TRAGEDY.,"Adelaide, SA",The Pictorial Australian,01/03/1892,02/03/1892,Newspaper Article,https://trove.nla.gov.au/newspaper/article/230507061,N/A,"Adelaide, SA",Adelaide,-34.93097859,138.6002854
6,Unknown,Advertising,"Adelaide, SA",The Pictorial Australian,01/03/1892,02/03/1892,Newspaper Article,https://trove.nla.gov.au/newspaper/article/230507076,435,"Adelaide, SA",Adelaide,-34.93097859,138.6002854
5,Unknown,THE WINDSOR AND RAINHILL TRAGEDIES.,"Adelaide, SA",The Pictorial Australian,01/03/1892,02/03/1892,Newspaper Article,https://trove.nla.gov.au/newspaper/article/230507066,2992,"Adelaide, SA",Adelaide,-34.93097859,138.6002854
753,Unknown,ALIASES OF FREDERICK BAYLEY DEEMING.,"Brisbane, QLD",The Week,01/04/1892,02/04/1892,Newspaper Article,https://trove.nla.gov.au/newspaper/article/182846480,178,"Brisbane, QLD",Brisbane,-27.44979033,153.0554909
752,Unknown,DEEMING'S CAREER IN HULL.,"Perth, WA",The Daily News,01/04/1892,02/04/1892,Newspaper Article,https://trove.nla.gov.au/newspaper/article/76456980,1259,"Perth, WA",Perth,-31.80289259,115.9542027
751,Unknown,CHRONOLOGICAL RECORD.,"Brisbane, QLD",The Week,01/04/1892,02/04/1892,Newspaper Article,https://trove.nla.gov.au/newspaper/article/182846481,1660,"Brisbane, QLD",Brisbane,-27.44979033,153.0554909
750,Unknown,THE RAINHILL AND WINDSOR MURDERS.,"Boorowa, NSW",The Burrowa News,01/04/1892,02/04/1892,Newspaper Article,https://trove.nla.gov.au/newspaper/article/101423175,3698,"Boorowa, NSW",Boorowa,-34.43933628,148.7206229
749,Unknown,The Windsor Murder.,"Morwell, VIC",Morwell Advertiser,01/04/1892,02/04/1892,Newspaper Article,https://trove.nla.gov.au/newspaper/article/65797652,952,"Morwell, VIC",Morwell,-38.23494412,146.4126158
748,Unknown,WINDSOR MURDER.,"Sydney, NSW",The Australian Star,01/04/1892,02/04/1892,Newspaper Article,https://trove.nla.gov.au/newspaper/article/229579209,842,"Sydney, NSW",Sydney,-33.87041555,151.2408677
747,Unknown,THE WINDSOR MURDER.,"Adelaide, SA",The Express and Telegraph,01/04/1892,02/04/1892,Newspaper Article,https://trove.nla.gov.au/newspaper/article/28326608,538,"Adelaide, SA",Adelaide,-34.93097859,138.6002854
746,Unknown,APPLICATION FOR AN ASSISTED PASSAGE.,"Sydney, NSW",The Daily Telegraph,01/04/1892,02/04/1892,Newspaper Article,https://trove.nla.gov.au/newspaper/article/236059403,181,"Sydney, NSW",Sydney,-33.87041555,151.2408677
745,Unknown,MRS DEEMING TRACED TO SYDNEY.,"Launceston, TAS",Daily Telegraph,01/04/1892,02/04/1892,Newspaper Article,https://trove.nla.gov.au/newspaper/article/153213490,184,"Launceston, TAS",Launceston,-41.43860847,147.1365488
744,Unknown,THE NOMINATED IMMIGRANT.,"Launceston, TAS",Launceston Examiner,01/04/1892,02/04/1892,Newspaper Article,https://trove.nla.gov.au/newspaper/article/39461397,144,"Launceston, TAS",Launceston,-41.43860847,147.1365488
743,Unknown,THE WINDSOR MURDERER.,"Melbourne, VIC",The Argus,01/04/1892,02/04/1892,Newspaper Article,https://trove.nla.gov.au/newspaper/article/8410176,2580,"Melbourne, VIC",Melbourne,-37.81845472,144.9654453
742,Unknown,MEETING THE MURDERER.,"Melbourne, VIC",The Herald,01/04/1892,02/04/1892,Newspaper Article,https://trove.nla.gov.au/newspaper/article/242873934,394,"Melbourne, VIC",Melbourne,-37.81845472,144.9654453
741,Unknown,ARRANGEMENTS FOR LANDING,"Sydney, NSW",Evening News,01/04/1892,02/04/1892,Newspaper Article,https://trove.nla.gov.au/newspaper/article/112940020,1255,"Sydney, NSW",Sydney,-33.87041555,151.2408677
740,Unknown,THE JOHANNSBERG MYSTERY.,"Sydney, NSW",Evening News,01/04/1892,02/04/1892,Newspaper Article,https://trove.nla.gov.au/newspaper/article/112940021,1359,"Sydney, NSW",Sydney,-33.87041555,151.2408677
739,Unknown,THE WINDSOR MURDERER.,"Colac, VIC",The Colac Herald,01/04/1892,02/04/1892,Newspaper Article,https://trove.nla.gov.au/newspaper/article/90328738,749,"Colac, VIC",Colac,,
738,Unknown,THE WINDSOR MURDERER.,"Traralgon, VIC",Traralgon Record,01/04/1892,02/04/1892,Newspaper Article,https://trove.nla.gov.au/newspaper/article/5928058,1425,"Traralgon, VIC",Traralgon,-38.19488665,146.5376936
