article_id,Placename,Filename,latitude,longitude,State,mean_median_dist,median_median_dist,n_results,winnerPct,searchType,Trove_id
37693276,Western Australia,23616_22_12_1932_13_1__37693276.txt,116.0015,-31.49877,WA,0,0,1,100,exact,23616
37693276,London,23616_22_12_1932_13_1__37693276.txt,-0.127758,51.5074,No best estimate,0,0,1,100,exact,23616
37693276,Perth,23616_22_12_1932_13_1__37693276.txt,115.85905,-31.95184,Ambiguous,12.89798925,0.004257786,12,,exact,23616
37693276,Hampshire,23616_22_12_1932_13_1__37693276.txt,145.7799988,-41.25999832,TAS,0,0,1,100,exact,23616
37693276,England,23616_22_12_1932_13_1__37693276.txt,152.4666667,-27.43333333,QLD,0,0,1,100,exact,23616
37693276,England,23616_22_12_1932_13_1__37693276.txt,152.4666667,-27.43333333,QLD,0,0,1,100,exact,23616
37693276,Western Australia,23616_22_12_1932_13_1__37693276.txt,116.0015,-31.49877,WA,0,0,1,100,exact,23616
37693276,London,23616_22_12_1932_13_1__37693276.txt,-0.127758,51.5074,No best estimate,0,0,1,100,exact,23616
37693276,Gibraltar,23616_22_12_1932_13_1__37693276.txt,150.4261111,-30.915,NSW,2.026841604,2.218708559,15,73.33333333,exact,23616
37693276,Tilbury,23616_22_12_1932_13_1__37693276.txt,,,None,,,0,,None,23616
64724597,Scotland,23586_9_06_1933_4_XXIII. (Continued)_None_64724597.txt,,,None,,,0,,None,23586
146843153,Yambatilli,"24451_9_02_1928_17_15_Ch XIII, XIV_146843153.txt",,,None,,,0,,None,24451
58660805,Sydney,23723_3_04_1932_12_VIII_Christmas Day_58660805.txt,151.2094444,-33.865,NSW,0.002685185,0,5,60,exact,23723
58660805,Geelong,23723_3_04_1932_12_VIII_Christmas Day_58660805.txt,144.3559723,-38.14819527,VIC,0.005005075,0.002249296,5,80,exact,23723
58660805,Broome,23723_3_04_1932_12_VIII_Christmas Day_58660805.txt,122.2363,-17.96167,WA,0.002133687,0,5,60,exact,23723
58660805,America,23723_3_04_1932_12_VIII_Christmas Day_58660805.txt,,,None,,,0,,None,23723
