article_id,trove_id,Database,Total Chapters,Chapter,Date,Decade,Trove Title,Chapter Title,Whole Item Link,Chapter Link,url,Genre,Narrative Foreground/Background,Bushfire_Tense_Context,Summary_of_Bushfire,Excerpt #1,Accuracy,Point/Polygon,Bushfire_Location,Excerpt or note on fire location,Trove ID,Common Title,Publication Title,Start Date,End Date,Additional Info,Length,nothing,Curated Dataset,Identified Sources,Publication Source,Newspaper ID,Newspaper,Newspaper Common Title,Coordinates,Newspaper Location,Newspaper Type,Colony/State,Author ID,Author,Other Names,Publication Author,Gender,Nationality,Nationality Details,Author Details,Inscribed Gender,Inscribed Nationality,Signature,Name Category,Context
136440103,17685,Database,,,1856,1850,Black Thursday,,https://cdhrdatasys.anu.edu.au/anfd/web/index.php?r=article/showbytrove&SearchArticle[new_trove_id]=17685,https://cdhrdatasys.anu.edu.au/anfd/web/index.php?r=article/viewwtrove&id=136440103,https://trove.nla.gov.au/newspaper/article/136440103,Recollection,Narrative Foreground,Present Primary,"This is a story about how fire management, saved the property! It is also a story of movement, that begins in one place and moves with the fire to another. Gellibrand to Lake Colac, this is the vicinity of the fire.
This story was actually published in William Howitt’s book “Tallangatta, the Squatters Home A story of Australian Life’ (1857) published in London⁠2 , what are the iterations of the different ways that this story has travelled? And who told this story? “Black Thursday” published in the Illawarra Mercury (Wollongong, NSW) by an unattributed author on the 1st December 1856, was originally published in “Household Worlds,” a weekly English magazine edited by Charles Dickens in the 1850s. There are a number of stories that mention “Black Thursday” in the data-set (how many in total?), with three that take their title directly from the event:","“By this means he had hitherto prevented the fire from reaching his homestead ; and he had strongly recommended the same plan to his neighbors, though generally with little effect”
“The circle within his clear boundary was untouched by the fire”.
“He had felled the forest-trees, leaving only one here and there, at such distances that there was little fear of ignition. As the summer dried the grass, he had set fire to it on days when the wind was gentle enough to leave the flame at command ; watching, branch in hand, to beat out any blaze that might have travelled into the forest. By this means he had hitherto prevented the fire from reaching his homestead ; and he had strongly recommended the same plan to his neighbors, though generally with little effect, Now the fire was so terrible, and sparks flew so wide on the wind, thatlie feared they might kindle the grass round his homestead, and that he might find everything and every person the e consumed. But, behold ! the gleaming, welcome water of Lake Colac”.",Precise,Point,"Lake Colac, VIC","He suddenly checked his horse, and listening, grew pale at the sound which reached him. It was a low deep roar, as of a wind in the tree-trops, or of a waterfall, distant, and smothered in a deep ravine. ' God have mercy ! ' he exclaimed : ' a bush fire I and in this thick forest ! ' Once more he sprang forward, shouting, thundering with his whip. He and the herd were galloping along the narrow wood track. But, as he had turned west ward in tho direction of his home, the woods — of which he had before seen the boundary — now closed for some miles upon him ; and, as he could not turn right or left for the chaos of vines and scrub that obstructed the forest, the idea of being overtaken there by tho bnsh-fire was horrible.",17685,Black Thursday,Black Thursday,1856-12-01,1856-12-01,,1,,N,,Household Words,669,"Illawarra Mercury (Wollongong, NSW : 1856 - 1950)",Illawarra Mercury,"-34.4248336, 150.8931132","Wollongong, NSW",Provincial,New South Wales,2629,William Howitt,,Unattributed,Male,British,,,Unknown,British,,Unattributed,"the squatter, and dashed his horse over fallen trees ; through crashing thickets, first on one side of the road, and then on the other. Crack, crack went the stinging, slashing whip ; loud was the bark of dogs ; and the mob of cattle ruelied forward at headlong speed. The young man gazed upward ; and, through the only narrow opening of the forest saw strange volumes of smoke rolling southward. Hotter, hotter, strongly and more steadily came the wind. He suddenly checked his horse, and listening, grew pale at the sound which reached him. It was a low deep roar, as of a wind in the tree-trops, or of a waterfall, distant, and smothered in a deep ravine. ' God have mercy ! ' he exclaimed : ' a bush fire I and in this thick forest ! ' Once more he sprang forward, shouting, thundering with his whip. He and the herd were galloping along the narrow wood track. But, as he had turned west ward in tho direction of his home, the woods of which he had before seen the boundary now closed for some miles upon him ; and, as he could not turn right or left for the chaos of vines and scrub that obstructed the forest, the idea of being overtaken there by tho bnsh-fire was horrible. Such an event would be death, and death only. Therefore lie urged 011 his flying herd with des peration. Crack upon crack from his long whip resounded through the hollow wood. |The cattle themselves seemed to hear the ominous sound,"
197087213,17686,Database,,3,1857,1850,Black Tom the Bushranger. A Tale of Twenty Years Ago,,https://cdhrdatasys.anu.edu.au/anfd/web/index.php?r=article/showbytrove&SearchArticle[new_trove_id]=17686,https://cdhrdatasys.anu.edu.au/anfd/web/index.php?r=article/viewwtrove&id=197087213,https://trove.nla.gov.au/newspaper/article/197087213,Adventure,Narrative Background,Present Primary,"This story begins with bush-fire but the bushfire does not feature predominantly in the narrative. I don’t understand because it doesn’t connect to previous chapters. Apart from location of Melbourne is entirely fictional setting It is an adventure genre.
• Link to Chapter One and Two [Need to add into data-base] https://trove.nla.gov.au/newspaper/article/202633902?searchTerm=Black%20Tom%20the%20Bushranger","“When Walter Burton joined the party around the bush fire, Fighting Dick had kept back, actuated by a pardonable mo- <ioat.v. which frequently assailed him in file presence of members of the constabu lary force. The fact was, that although an excellent stockman, and strictly honest fl3 regarded his paster, there were some little transactions with respect to ""Roosbians"" on the hills, which were not so well adapted for police investiga tion, and he knew besides that he was suspected (and not without reason) of correspondence with ""Black Tom's"" dreaded gang”.",Proximate,Point,Mount Wombat,,17686,Black Tom the Bushranger. A Tale of Twenty Years Ago,Black Tom the Bushranger. A Tale of Twenty Years Ago,1857-02-20,1857-02-27,"B. L., Forest Creek",0,,Y,,,582,Mount Alexander Mail (Vic. : 1854 - 1917),Mount Alexander Mail,"-37.058136, 144.2185006","Castlemaine, VIC",Provincial,Victoria,6150,"B. L., Forest Creek",,B. L.,Unknown,Unknown,,,Uninscribed,Australian,,Initials only,
197087506,17686,Database,,5,1857,1850,Black Tom The Bushranger,,https://cdhrdatasys.anu.edu.au/anfd/web/index.php?r=article/viewwtrove&id=197087214,https://cdhrdatasys.anu.edu.au/anfd/web/index.php?r=article/viewwtrove&id=197087506,https://trove.nla.gov.au/newspaper/article/149346766,Adventure,Narrative Foreground,Past Primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166657747,14880,Database,,3,1864,1860,Mickey Mahony's Mishaps,,https://cdhrdatasys.anu.edu.au/anfd/web/index.php?r=article/showbytrove&SearchArticle[new_trove_id]=14880,https://cdhrdatasys.anu.edu.au/anfd/web/index.php?r=article/viewwtrove&id=166657747,https://trove.nla.gov.au/newspaper/article/166657747,Adventure,Narrative Background,Past Secondary,"This story has terrible OCR, bushfire is just mentioned in passing by main protagonist.","Troth I'm not very wake now for an Did man, though I didn't altera take the best cue av Sneielf. Still sn all, I've seen many fellers put under ground who were as able an as hearty as meself; be the same token, some av thim didn't come to their end through fair play, worse luck,. I've had no end av scapes from death afore to-day ; but I'm as hard to kill as a native-dog. Twice I was speared by the Jilacks ; onst I wor nigh drowaded w a flood, an another time close tip roasted in a bush-fire ; onst I Wor tossed by a wild bullock ; onst I wor bitten by a Ehnake ; an onst I tried to hung meself wid me belt ; hut the sthrep broke just as- 1 wor giving my last kick.' 'Dear me i' exclaimed Mr. Hopewell, with a Shudder j «? and had you died then where would you be now?' ' Dear knows,' said Micky ; ' I niver thought gnuch about it, sir, It would a kin a settler wid me, lhat's all I know. I shouldn't ha drawn any more kations, nor slops nayther, that's sartain.",Indeterminate,,Indeterminate,,14880,Mickey Mahony's Mishaps,Mickey Mahony's Mishaps,1864-05-14,1864-06-25,,0,,Y,,,697,Sydney Mail (NSW : 1860 - 1871),Sydney Mail,"-33.8688197, 151.2092955","Sydney, NSW",Metropolitan,New South Wales,1124,Old Boomerang,"Houlding, J. R.",Old Boomerang,Male,Australian,,AustLit; Obit: http://nla.gov.au/nla.news-article15769236,Male,Australian,,Pseudonym,
63512629,6634,Database,,13,1865,1860,Woonoona: An Australian Story,BIRDS OP A FEATHER,https://cdhrdatasys.anu.edu.au/anfd/web/index.php?r=article/showbytrove&SearchArticle[new_trove_id]=6634,https://cdhrdatasys.anu.edu.au/anfd/web/index.php?r=article/viewwtrove&id=63512629,https://trove.nla.gov.au/newspaper/article/63512629,Adventure?,Narrative Background,Past Primary,"Aboriginal character 'Hooney' there is use of Indigenous language in this story, with Indigenous words accompanied by English words in brackets. Lin Denisher, Hooney is accompanying. Meet bushranger who recount how has murdered his wife - they plan to rob the homestead 'Woonoona'","A bush fire had hurried through the valley some weeks before, and its blasting bieath had left nothing but seared blacken- ed trunks and branches, in mourning for their dead foliage.",Proximate,Polygon,NSW Bush,,6634,Woonoona: An Australian Story,Woonoona: An Australian Tale of the City and the Bush,1865-04-15,1865-12-16,,0,,Y,,,107,Illustrated Sydney News (NSW : 1853 - 1872),Illustrated Sydney News,"-33.8688197, 151.2092955","Sydney, NSW",Metropolitan,New South Wales,936,"Wilson, Frederick Sydney",,"Wilson, F. S.",Male,Australian,,AustLit,Uninscribed,Australian,,Initials and surname,
138040200,15079,Database,3,3,1865,1860,A Tale of Early Colonial Life,,https://cdhrdatasys.anu.edu.au/anfd/web/index.php?r=article/showbytrove&SearchArticle[new_trove_id]=15079,https://cdhrdatasys.anu.edu.au/anfd/web/index.php?r=article/viewwtrove&id=138040200,https://trove.nla.gov.au/newspaper/article/138040200,Adventure?,Narrative Foreground,Present Secondary,Terrible OCR,,Indeterminate,Polygon,Bush,"meanwhile ?' on the snooess of their scheme. | Balckc was in their power. (The neighbouring , squatters believed him to bo dead. A para

graph appeared in the Melbourne newspaper j headed, "" fire in the bush. Finding of the re mains of a hone; and probable death of j.

Balckc, Esq., who was last seen riding, the j animal."" There was a notice in another j column:—"" Died—On the 3rd inst, J. W. j BalckeEsq., of Quagumckjop, having perished in a bush-fire, liis sorrowing widow mourns lliE loss.""

Fanny arrayed herself in widow's woods, ' and assumed all the outward signs of grief.",15079,A Tale of Early Colonial Life,A Tale of Early Colonial Life,1865-06-17,1865-06-17,,1,,N,,,460,"The Australasian (Melbourne, Vic. : 1864 - 1946)",Australasian,"-37.8136276, 144.9630576","Melbourne, Vic.",Metropolitan,Victoria,5448,"Robertson, Andrew",,"Robertson, Andrew",Unknown,Unknown,,,Male,Australian,,Attributed,
36644371,5431,Database,67,12,1867,1860,The Maxwells of Bremgarten,,https://cdhrdatasys.anu.edu.au/anfd/web/index.php?r=article/showbytrove&SearchArticle[new_trove_id]=5431,https://cdhrdatasys.anu.edu.au/anfd/web/index.php?r=article/viewwtrove&id=36644371,https://trove.nla.gov.au/newspaper/article/36644371,,Narrative Background,Past Primary,"Juniper discusses how he saved his house during a bad season ""I sent a fire to meet a fire""",,Proximate,Polygon,"the whole country, from Ben Lomlond to Ben Nevis, and from here to St. Patrick's Head",,5431,The Maxwells of Bremgarten,The Maxwells of Bremgarten,1867-04-06,1868-10-17,,0,,Y,AustLit,,74,Launceston Examiner (Tas. : 1842 - 1899),Launceston Examiner,"-41.439068, 147.1357671","Launceston, TAS",Provincial,Tasmania,633,"Ferrar, William Moore",,Unattributed,Male,Australian,Born in Dublin died in Australia,AustLit,Uninscribed,Australian,,Unattributed,
36645343,5431,Database,67,19,1867,1860,The Maxwells of Bremgarten,,https://cdhrdatasys.anu.edu.au/anfd/web/index.php?r=article/showbytrove&SearchArticle[new_trove_id]=5431,https://cdhrdatasys.anu.edu.au/anfd/web/index.php?r=article/viewwtrove&id=36645343,https://trove.nla.gov.au/newspaper/article/36645343,,Narrative Foreground,Present Primary,"The fire is encroaching on Griselda's house so she rides to Mr Juniper to ask his help fighting fire, she rides through the fire to do this.",,Proximate,Polygon,"Peppermint Forrest, Tasmania",,5431,The Maxwells of Bremgarten,The Maxwells of Bremgarten,1867-04-06,1868-10-17,,0,,Y,AustLit,,74,Launceston Examiner (Tas. : 1842 - 1899),Launceston Examiner,"-41.439068, 147.1357671","Launceston, TAS",Provincial,Tasmania,633,"Ferrar, William Moore",,Unattributed,Male,Australian,Born in Dublin died in Australia,AustLit,Uninscribed,Australian,,Unattributed,
36646415,5431,Database,59,25,1867,1860,The Maxwells of Bremgarten,,https://cdhrdatasys.anu.edu.au/anfd/web/index.php?r=article/showbytrove&SearchArticle[new_trove_id]=5431,https://cdhrdatasys.anu.edu.au/anfd/web/index.php?r=article/viewwtrove&id=36646415,https://trove.nla.gov.au/newspaper/article/36646415,,Narrative Foreground,Past Primary,"They are reflecting on the bushfire that took place earlier in the story. This part of the story is about bushrangers in Tasmania – the threat of bushrangers and not of Aboriginal people – in this case it about collusion with a bush-ranger, but is a sotry about how despite precautions, it is a possum who sets fire to the bush; the difficulties of the bush:","The party indulged in a laugh in which Juniper himself joined, and Maxwell, in order to remove erroneous impressions from the Colonel's mind, related in terms highly complimentary to Juniper his adventure with the bushranger at the time of the fire. Mrs. Maxwell also took that opportunity to acknowledge the services of Mr. Juniper in arresting the progress of the fire, as, were it not for him, their house would in all proba- bility have been burned down. "" I believe, Colonel,"" she continued, "" that the bush-fires in New South Wales are much more terrible than they are here ?"" "" I don't know, ma'am,"" said the officer, "" what they are here, but I think I ought to know something about them there. I wasonce, ma'am, up at my station with my son Frederick, and took it into my head to go on an exploring expedition. We took a tent and some provisions with us, thinking probably to be out a few nights. It was in the middlel of summer, the heat was sufficient to broil a chop on a rock, and the grass was so dry that it would almost have taken fire if you walked upon it with nails in your boots. On the second day we found a dry creek, and rambling along it for some distance found a hole containing some pure-water, at which Fred was so delighted that he nearly tumbled into it. Well, ma'am, I thought we would have tea, and in order to boil the kettle I to pulled out my flint and steel and began to strike a light ' What are you going to do, father ?' said Fred. ' To light a fire,' sir, said I.' ' For God's sake,' said he, ' don't, we can do without tea ; if the bush takes fire, it will leave us as bare as when we were born.' ' Hold your tongue, sir?' said I ; do you to think I havn't lived long enough in the world to know how to take care of a fire—as for being bare I shan't wonder at seeing you go out of the world as naked as you came into it.' "" While I was speaking I struck a light and scraped a few twigs and bark together at the root of a big hollow gum-tree, and soon had a nice little fire that could not possibly do any damage, though that cautious son of mine was not satisfied but began to scrape away all round it to prevent its catching the grass, while I went to the water-hole and filled the kettle.When I came back the scamp was still scraping away, and I roared to him to take himself off, or I would throw the kettle of water all over him—when just at that moment, Sir, a lot of rubbish and dust shot down front the hollow tree, and bump and squash thundered a great hairy badger as big as a mastiff, which jumped right into the fire, then ran between my legs, knocking me down on Fred's back, so that we scrambled thus together for ten minutes before we could get up, and when we did the bush was in a blaze."" "" Dear me,"" said Mrs. Maxwell, "" that was great misfortune; I hope your homesteal did not get burned."" "" No, ma'am, the manager had burnt a train round it before the hot summer came on —the only wise thing I ever knew him to do —but the grass on a hundred thousand acres was burnt as bare as the desert of Idumea."" "" What did the poor sheep do, Sir ?"" asked Juniper. "" The beat thing they could, Sir ; they had to watch the grass growing again and nibble at it the same way as you would in a time of famine at the tail of a rat after his body had been done for."" Mr. Juniper laughed. """,Proximate,Polygon,Tasmania,,5431,The Maxwells of Bremgarten,The Maxwells of Bremgarten,1867-04-06,1868-10-17,,0,,Y,AustLit,,74,Launceston Examiner (Tas. : 1842 - 1899),Launceston Examiner,"-41.439068, 147.1357671","Launceston, TAS",Provincial,Tasmania,633,"Ferrar, William Moore",,Unattributed,Male,Australian,Born in Dublin died in Australia,AustLit,Uninscribed,Australian,,Unattributed,
36647803,5431,Database,67,34,1867,1860,The Maxwells of Bremgarten,,https://cdhrdatasys.anu.edu.au/anfd/web/index.php?r=article/showbytrove&SearchArticle[new_trove_id]=5431,https://cdhrdatasys.anu.edu.au/anfd/web/index.php?r=article/viewwtrove&id=36647803,https://trove.nla.gov.au/newspaper/article/36647803,,Part of Speech,Other,There are bushfires and floods etc.,"There arc floods some-
times and bush fires, as we have seen and
felt ; but all other sources of danger and
calamity seem to have been knocked on the
head by some powerful agency.",None,None,Tasmania,,5431,The Maxwells of Bremgarten,The Maxwells of Bremgarten,1867-04-06,1868-10-17,,0,,Y,AustLit,,74,Launceston Examiner (Tas. : 1842 - 1899),Launceston Examiner,"-41.439068, 147.1357671","Launceston, TAS",Provincial,Tasmania,633,"Ferrar, William Moore",,Unattributed,Male,Australian,Born in Dublin died in Australia,AustLit,Uninscribed,Australian,,Unattributed,
