Placename,Filename,longitude,latitude,State,mean_median_dist,median_median_dist,n_results,winnerPct,searchType,Trove_id,Status,Trove Title,Narrative Foreground/Background,url,Newspaper,Author,Start Date,End Date,Bushfire_Location
Esq.,24190_11_03_1871_2_II-III & IV_RIDING IN. & THE YELLOW FEVER FIT._219367489.txt,,,None,,,0,,None,24190,Matching,Pierce Charltons Wives,Narrative Background,https://trove.nla.gov.au/newspaper/article/219367489,The Weekly Times,"Walstab, George Arthur",1871-01-07,1871-10-21,Near Ballarat
Esq.,24190_4_03_1871_2_II-II_RIDING DOWN._219367994.txt,,,None,,,0,,None,24190,Matching,Pierce Charltons Wives,Narrative Background,https://trove.nla.gov.au/newspaper/article/219367994,The Weekly Times,"Walstab, George Arthur",1871-01-07,1871-10-21,"Western District, VIC"
Antarctic,24190_1_07_1871_2_III-I & II_THE BLACK OX. & RUINED._220405886.txt,,,None,,,0,,None,24190,Matching,Pierce Charltons Wives,Narrative Background,https://trove.nla.gov.au/newspaper/article/220405886,The Weekly Times,"Walstab, George Arthur",1871-01-07,1871-10-21,homestead Lal-Lal
,,,,,,,,,,,Non-matching,In the Red Rock Mailbag,Narrative Background,https://trove.nla.gov.au/newspaper/article/163289401,The Sydney Mail and New South Wales Advertiser (NSW : 1871 - 1912),"Forrest, Mabel",10/3/09,10/3/09,
Brisbane,"24051_30_11_1907_19_VI (Continued), VII__205009008.txt",151.9229167,-29.82472222,Ambiguous,2.603174807,2.603174807,2,,exact,24051,Matching,Carlotta,Narrative Background,https://trove.nla.gov.au/newspaper/article/205009008,"The Age (Melbourne, Vic. : 1854 - 1954)","Forrest, Mabel",26/10/07,11/1/08,
Chinatown,"24051_26_10_1907_19_I, II__205011032.txt",148.8071528,-34.93743056,Ambiguous,2.638412437,2.638412437,2,,exact,24051,Matching,Carlotta,Narrative Background,https://trove.nla.gov.au/newspaper/article/205011032,"The Age (Melbourne, Vic. : 1854 - 1954)","Forrest, Mabel",26/10/07,11/1/08,
York,24051_4_01_1908_18_XI__196105655.txt,140.474705,-32.71549611,Ambiguous,14.05627939,14.76409358,8,,exact,24051,Matching,Carlotta,Part of Speech,https://trove.nla.gov.au/newspaper/article/196105655,"The Age (Melbourne, Vic. : 1854 - 1954)","Forrest, Mabel",26/10/07,11/1/08,
Jiia,24020_8_12_1906_15___25972763.txt,,,None,,,0,,None,24020,Matching,The Doctor,None,https://trove.nla.gov.au/newspaper/article/25972763,"The Queenslander (Brisbane, Qld. : 1866 - 1939)","Forrest, Mabel",8/12/06,8/12/06,
Brisbane,24018_13_10_1906_50___139177326.txt,151.9229167,-29.82472222,Ambiguous,2.603174807,2.603174807,2,,exact,24018,Matching,The Romance of It,Narrative Background,https://trove.nla.gov.au/newspaper/article/139177326,"The Australasian (Melbourne, Vic. : 1864 - 1946)","Forrest, Mabel",13/10/06,13/10/06,
Gulf,23996_14_03_1906_697___164040319.txt,,,None,,,0,,None,23996,Matching,Justice,Narrative Background,https://trove.nla.gov.au/newspaper/article/164040319,The Sydney Mail and New South Wales Advertiser (NSW : 1871 - 1912),"Forrest, Mabel",14/3/06,14/3/06,
