0,1,2,__mappify_error
Western Australia,,23616_22_12_1932_13_1__37693276.txt,
London,,23616_22_12_1932_13_1__37693276.txt,
Perth,,23616_22_12_1932_13_1__37693276.txt,
Hampshire,,23616_22_12_1932_13_1__37693276.txt,
England,,23616_22_12_1932_13_1__37693276.txt,
England,,23616_22_12_1932_13_1__37693276.txt,
Western Australia,,23616_22_12_1932_13_1__37693276.txt,
London,,23616_22_12_1932_13_1__37693276.txt,
Gibraltar,,23616_22_12_1932_13_1__37693276.txt,
Tilbury,,23616_22_12_1932_13_1__37693276.txt,
Scotland,,23586_9_06_1933_4_XXIII. (Continued)_None_64724597.txt,
Yambatilli,,"24451_9_02_1928_17_15_Ch XIII, XIV_146843153.txt",
Sydney,,23723_3_04_1932_12_VIII_Christmas Day_58660805.txt,
Geelong,,23723_3_04_1932_12_VIII_Christmas Day_58660805.txt,
Broome,,23723_3_04_1932_12_VIII_Christmas Day_58660805.txt,
America,,23723_3_04_1932_12_VIII_Christmas Day_58660805.txt,
San Francisco,,23723_3_04_1932_12_VIII_Christmas Day_58660805.txt,
Tonga,,23586_12_05_1933_4_XXI. (Continued) & XXII._None_64724521.txt,
Central Australia,,23476_18_03_1931_19_None__74671570.txt,
Southern Tablelands,,23916_9_11_1918_42_I_Defeat_22366486.txt,
Wilcannia,,23916_9_11_1918_42_I_Defeat_22366486.txt,
Sydney,,23916_9_11_1918_42_I_Defeat_22366486.txt,
Shoalhaven River,,23916_9_11_1918_42_I_Defeat_22366486.txt,
Pig Island,,23916_9_11_1918_42_I_Defeat_22366486.txt,
Broughton Creek,,23916_9_11_1918_42_I_Defeat_22366486.txt,
Sydney,,23916_9_11_1918_42_I_Defeat_22366486.txt,
Sydney,,23916_9_11_1918_42_I_Defeat_22366486.txt,
Sydney,,23916_9_11_1918_42_I_Defeat_22366486.txt,
Sydney,,23916_9_11_1918_42_I_Defeat_22366486.txt,
Sydney,,23916_9_11_1918_42_I_Defeat_22366486.txt,
Yambatilli,,24450_25_02_1928_64_13_Chapter XIII  _165637767.txt,
Hudson's Bay,,9403_29_08_1914_44_XXV_THE BACK TRAIL._92036072.txt,
Canada,,9403_29_08_1914_44_XXV_THE BACK TRAIL._92036072.txt,
Montreal,,9403_29_08_1914_44_XXV_THE BACK TRAIL._92036072.txt,
Coonara,,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,
Coonara,,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,
Toulouse,,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,
Lewis Ponds Creek,,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,
Portland,,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,
Bathurst,,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,
Yarra,,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,
Port Phillip,,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,
Sydney,,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,
