Placename,Enitity,File,__mappify_error
Barham,NSW,,
Barnes,NSW,,
Barnsley,NSW,,
Belford,NSW,,
Berkeley,NSW,,
Bexhill,NSW,,
Blackheath,NSW,,
Blackwall,NSW,,
Bookham,NSW,,
Branxton,NSW,,
Brocklesby,NSW,,
Caldwell,NSW,,
Camberwell,NSW,,
Camden Park,NSW,,
Chipping Norton,NSW,,
Clarendon,NSW,,
Clifton,NSW,,
Coledale,NSW,,
Dalton,NSW,,
Darlington,NSW,,
Epping,NSW,,
Euston,NSW,,
Exeter,NSW,,
Frampton,NSW,,
Gloucester,NSW,,
Gosford,NSW,,
Grafton,NSW,,
Hanwood,NSW,,
Harefield,NSW,,
Ilford,NSW,,
Kendall,NSW,,
Kensington,NSW,,
Liverpool,NSW,,
Manchester Square,NSW,,
Milton,NSW,,
Morpeth,NSW,,
Newcastle,NSW,,
New England,NSW,,
Osborne,NSW,,
Otford,NSW,,
Oxley,NSW,,
Paddington,NSW,,
Penrith,NSW,,
Penrose,NSW,,
Richmond,NSW,,
Rosedale,NSW,,
Stanmore,NSW,,
Stroud,NSW,,
Sydenham,NSW,,
Sydney,NSW,,
Tamworth,NSW,,
Toronto,NSW,,
Tottenham,NSW,,
Wellington,NSW,,
Windsor,NSW,,
Amberley[1],QLD,,
Beaudesert[2],QLD,,
Blackwall,QLD,,
Croydon[3],QLD,,
Dalby[4],QLD,,
Dunwich[5],QLD,,
Edmonton[6],QLD,,
Gatton[7],QLD,,
Hughenden[8],QLD,,
Ipswich[9],QLD,,
Isisford[10],QLD,,
Kenilworth[11],QLD,,
Milton[12],QLD,,
Northumberland Islands[13],QLD,,
Oxley[14],QLD,,
Paddington,QLD,,
Parkwood,QLD,,
Richmond,QLD,,
Rothwell,QLD,,
Runcorn[15],QLD,,
Scarborough,QLD,,
Southport[16],QLD,,
St George[17],QLD,,
Warwick[18],QLD,,
Westwood[19],QLD,,
Winton[20],QLD,,
Brighton,SA,,
Brinkworth,SA,,
Burton,SA,,
Clarendon,SA,,
Clayton,SA,,
Copley,SA,,
Darlington,SA,,
Dutton,SA,,
Glossop,SA,,
Harrogate,SA,,
Hammond,SA,,
Hyde Park,SA,,
Littlehampton,SA,,
Loxton,SA,,
Lyndhurst,SA,,
Malvern,SA,,
Mount Pleasant,SA,,
Peterborough,SA,,
Redhill,SA,,
Saddleworth,SA,,
Salisbury,SA,,
Spalding,SA,,
Stockport,SA,,
Stockwell,SA,,
Wellington,SA,,
Woodside,SA,,
Beaconsfield,TAS,,
Bellingham,TAS,,
Bishopsbourne,TAS,,
Blackwall,TAS,,
Bridgenorth,TAS,,
Brighton,TAS,,
Cranbrook,TAS,,
Deddington,TAS,,
Devonport,TAS,,
Exeter,TAS,,
Falmouth,TAS,,
Harford,TAS,,
Kempton,TAS,,
Kettering,TAS,,
Launceston,TAS,,
New Norfolk,TAS,,
Orford,TAS,,
Parkham,TAS,,
Richmond,TAS,,
Sheffield,TAS,,
Sidmouth,TAS,,
Somerset,TAS,,
Westbury,TAS,,
Wiltshire,TAS,,
Wivenhoe,TAS,,
Melton Mowbray,TAS,,
Addington,VIC,,
Ascot near Ballarat,VIC,,
Ascot near Bendigo,VIC,,
Beaconsfield,VIC,,
Blackburn,VIC,,
Brighton,VIC,,
Burnley,VIC,,
Charlton,VIC,,
Chelsea,VIC,,
Cheltenham,VIC,,
Dartmoor,VIC,,
Dartmouth,VIC,,
Doncaster,VIC,,
Epping,VIC,,
Everton,VIC,,
Exford,VIC,,
Harrow,VIC,,
Hastings,VIC,,
Heywood,VIC,,
Horsham,VIC,,
Inglewood,VIC,,
London Arch,VIC,,
Macclesfield,VIC,,
Malmsbury,VIC,,
Malvern,VIC,,
Melbourne,VIC,,
Merton,VIC,,
Newham,VIC,,
Oxley,VIC,,
Peterborough,VIC,,
Preston,VIC,,
Ringwood,VIC,,
Richmond,VIC,,
Red Hill,VIC,,
Rochester,VIC,,
Rosedale,VIC,,
Stratford,VIC,,
Torquay,VIC,,
Woodside,VIC,,
Beaconsfield,WA,,
Bunbury,WA,,
Boddington,WA,,
Brighton,WA,,
Carlisle,WA,,
Caversham,WA,,
Darlington,WA,,
Denham,WA,,
Derby,WA,,
Exmouth,WA,,
Highbury,WA,,
High Wycombe,WA,,
Inglewood,WA,,
Northampton,WA,,
Parkwood,WA,,
Redcliffe,WA,,
Scarborough,WA,,
Spalding,WA,,
Warwick,WA,,
