0,1,2
Foy,PERSON,18980226-821-162389589.txt
Gibson,PERSON,18980226-821-162389589.txt
Victoria,ORGANIZATION,18980226-821-162389589.txt
Employers,ORGANIZATION,18980226-821-162389589.txt
',ORGANIZATION,18980226-821-162389589.txt
Union,ORGANIZATION,18980226-821-162389589.txt
Warrn'ambool,ORGANIZATION,18980226-821-162389589.txt
Panmure,ORGANIZATION,18980226-821-162389589.txt
Garvoc,LOCATION,18980226-821-162389589.txt
Allangford,LOCATION,18980226-821-162389589.txt
Jine,LOCATION,18710422-412-103918896.txt
Melbourne,LOCATION,18710422-412-103918896.txt
Forsyth,PERSON,18710422-412-103918896.txt
Co.,ORGANIZATION,18710422-412-103918896.txt
Ki,PERSON,18620107-67-60509503.txt
Hu,PERSON,18620107-67-60509503.txt
Epjt,PERSON,18620107-67-60509503.txt
North,LOCATION,18620107-67-60509503.txt
Head,LOCATION,18620107-67-60509503.txt
South,LOCATION,18620107-67-60509503.txt
KN,ORGANIZATION,18620107-67-60509503.txt
Bush,PERSON,18710128-821-159528708.txt
E.,PERSON,18710128-821-159528708.txt
C.,PERSON,18710128-821-159528708.txt
Hughes,PERSON,18710128-821-159528708.txt
J.,PERSON,18710128-821-159528708.txt
C.,PERSON,18710128-821-159528708.txt
MacMichael,PERSON,18710128-821-159528708.txt
Victoria,LOCATION,18710128-821-159528708.txt
Moses,PERSON,18710128-821-159528708.txt
Isabel,PERSON,18680123-74-36695560.txt
Maxwell,PERSON,18680123-74-36695560.txt
New,LOCATION,18680123-74-36695560.txt
South,LOCATION,18680123-74-36695560.txt
Wales,LOCATION,18680123-74-36695560.txt
Mirboo,LOCATION,18790407-108-62027001.txt
Manton,PERSON,18790407-108-62027001.txt
Rosedale,ORGANIZATION,18790407-108-62027001.txt
Common,ORGANIZATION,18790407-108-62027001.txt
Oliver,PERSON,18790407-108-62027001.txt
Wentworth,PERSON,18790407-108-62027001.txt
James,PERSON,18790407-108-62027001.txt
Rogers,PERSON,18790407-108-62027001.txt
Warrnambool,LOCATION,18790407-108-62027001.txt
Council,ORGANIZATION,18790407-108-62027001.txt
Council,ORGANIZATION,18790407-108-62027001.txt
Council,ORGANIZATION,18790407-108-62027001.txt
Fine,ORGANIZATION,18790407-108-62027001.txt
Arts,ORGANIZATION,18790407-108-62027001.txt
Committee,ORGANIZATION,18790407-108-62027001.txt
Melbourne,ORGANIZATION,18790407-108-62027001.txt
International,ORGANIZATION,18790407-108-62027001.txt
Exhibition,ORGANIZATION,18790407-108-62027001.txt
Traill,PERSON,18790407-108-62027001.txt
Denison,LOCATION,18790407-108-62027001.txt
Pedersen,PERSON,18790407-108-62027001.txt
Denison,LOCATION,18790407-108-62027001.txt
Flint,LOCATION,18620226-189-66331694.txt
South,LOCATION,18620226-189-66331694.txt
Australia,LOCATION,18620226-189-66331694.txt
Aspinall,PERSON,18620226-189-66331694.txt
Marshall,PERSON,18620226-189-66331694.txt
County,ORGANIZATION,18620226-189-66331694.txt
Court,ORGANIZATION,18620226-189-66331694.txt
Rossiter,PERSON,18620226-189-66331694.txt
Bullarook,LOCATION,18620226-189-66331694.txt
Union,ORGANIZATION,18800109-13-5970021.txt
Company,ORGANIZATION,18800109-13-5970021.txt
Tarrengower,ORGANIZATION,18800109-13-5970021.txt
Times,ORGANIZATION,18800109-13-5970021.txt
Maldon,LOCATION,18800109-13-5970021.txt
Shire,LOCATION,18800109-13-5970021.txt
Godenzas,PERSON,18800109-13-5970021.txt
Bendigo,LOCATION,18800109-13-5970021.txt
Walmer,PERSON,18800109-13-5970021.txt
Michael,PERSON,18800109-13-5970021.txt
Owens,PERSON,18800109-13-5970021.txt
J,PERSON,18800109-13-5970021.txt
Rickards,PERSON,18800109-13-5970021.txt
Rickard,PERSON,18800109-13-5970021.txt
Moffats,ORGANIZATION,18800109-13-5970021.txt
Ravenswood,LOCATION,18800109-13-5970021.txt
