Approved Name,State,lat,long
Albion 4010,Qld,-27.433,153.044
Albion 4822,Qld,-21.328,142.605
Alison 2259,NSW,-33.266,151.4
Alison 2420,NSW,-32.429,151.773
Alligator Creek 4740,Qld,-21.32,149.218
Alligator Creek 4816,Qld,-19.411,146.932
Ascot 4007,Qld,-27.43,153.065
Ascot 4875,Qld,-27.826,151.997
Ascot 3364,Vic,-37.396,143.813
Ascot 3551,Vic,-36.708,144.335
Back Creek 2372,NSW,-28.962,151.729
Back Creek 2390,NSW,-30.112,150.276
Back Creek 2422,NSW,-31.962,152.053
Back Creek 2484,NSW,-28.409,153.17
Back Creek 2622,NSW,-35.343,149.944
Back Creek 2671,NSW,-33.865,147.461
Bakers Creek 2359,NSW,-30.325,150.996
Bakers Creek 2422,NSW,-31.973,152.101
Bakers Creek 2447,NSW,-30.827,152.715
Balmoral 2283,NSW,-33.046,151.579
Balmoral 2571,NSW,-34.303,150.515
Barry 2340,NSW,-31.6,151.284
Barry 2799,NSW,-33.647,149.267
Bellfield 3081,Vic,-37.753,145.038
Bellfield 3381,Vic,-37.225,142.489
Big Hill 3231,Vic,-38.478,144.008
Big Hill 3555,Vic,-36.836,144.23
Birnam 4285,Qld,-27.95,153.059
Birnam 4352,Qld,-27.493,151.926
Black Creek 2439,NSW,-31.586,152.639
Black Creek 2729,NSW,-35.329,148.034
Boat Harbour 2316,NSW,-32.784,152.11
Boat Harbour 2480,NSW,-28.778,153.369
Broadwater 2472,NSW,-29.035,153.426
Broadwater 2549,NSW,-36.973,149.894
Burra 2620,NSW,-35.559,149.224
Burra 2653,NSW,-35.828,148.09
Cabbage Tree Island 2430,NSW,-31.946,152.59
Cabbage Tree Island 2477,NSW,-28.981,153.457
Cannon Creek 4310,Qld,-28.079,152.729
Cannon Creek 4380,Qld,-28.606,151.874
Carrington 2294,NSW,-32.913,151.766
Carrington 2324,NSW,-32.66,152.018
Cattle Creek 4407,Qld,-27.676,150.799
Cattle Creek 4626,Qld,-25.457,151.301
Cedar Creek 2325,NSW,-32.838,151.172
Cedar Creek 2484,NSW,-28.418,153.262
Cedar Creek 4207,Qld,-27.84,153.184
Cedar Creek 4520,Qld,-27.333,152.819
Clontarf 4019,Qld,-27.244,153.077
Clontarf 4357,Qld,-27.972,151.228
Colo 2756,NSW,-33.416,150.807
Colo 2795,NSW,-33.779,149.265
Dalwood 2335,NSW,-32.627,151.415
Dalwood 2477,NSW,-28.894,153.413
Darlington 2008,NSW,-33.891,151.193
Darlington 2330,NSW,-32.559,151.161
Deep Creek 2440,NSW,-30.968,152.707
Deep Creek 2460,NSW,-29.162,152.668
Deep Creek 2469,NSW,-28.969,152.683
Douglas 4354,Qld,-27.32,151.906
Douglas 4814,Qld,-19.325,146.751
Dural 2158,NSW,-33.684,151.041
Dural 2330,NSW,-32.58,150.862
Elderslie 2335,NSW,-32.582,151.351
Elderslie 2570,NSW,-34.057,150.715
Ellerslie 2648,NSW,-33.824,142.028
Ellerslie 2729,NSW,-35.309,147.909
Elphinstone 4361,Qld,-27.983,151.892
Elphinstone 4742,Qld,-21.506,148.215
Enmore 2042,NSW,-33.9,151.171
Enmore 2350,NSW,-30.731,151.834
Fairy Dell 3561,Vic,-36.324,144.732
Fairy Dell 3875,Vic,-37.689,147.757
Gilberton 4208,Qld,-27.742,153.273
Gilberton 4871,Qld,-19.279,143.692
Glenroy 2640,NSW,-36.052,146.899
Glenroy 2653,NSW,-35.749,147.883
Golden Point 3350,Vic,-37.574,143.865
Golden Point 3451,Vic,-37.064,144.274
Golden Point 3465,Vic,-37.091,143.761
Gowrie 2330,NSW,-32.565,151.148
Gowrie 2340,NSW,-31.345,150.825
Green Hills 2365,NSW,-30.267,151.787
Green Hills 2730,NSW,-35.546,148.029
Green Point 2251,NSW,-33.454,151.365
Green Point 2428,NSW,-32.25,152.518
Greendale 2550,NSW,-36.585,149.862
Greendale 2745,NSW,-33.928,150.663
Greenlands 2330,NSW,-32.362,151.164
Greenlands 2631,NSW,-36.518,149.444
Greenmount 4359,Qld,-27.776,151.893
Greenmount 4751,Qld,-21.184,149.035
Gregory River 4660,Qld,-25.1,152.215
Gregory River 4800,Qld,-20.25,148.502
Happy Valley 3360,Vic,-37.728,143.596
