article_id,title,newspaper_id,newspaper_title,page,date,category,words,illustrated,corrections,snippet,url,page_url
100116415,THE VALLEY OF DEATH.,367,Goulburn Herald (NSW : 1881 - 1907),4,1889-10-17,Article,2260,N,0,"Two men are standing on the bank of a small creek running through barren stony ridges. The heat is intense, the sun is almost vertical, and the scanty motionless",https://nla.gov.au/nla.news-article100116415,http://trove.nla.gov.au/newspaper/page/9456788
100119785,"TELEGRAMS. SYDNEY, Wednesday, 7.30 p.m.",367,Goulburn Herald (NSW : 1881 - 1907),3,1889-12-19,Article,548,N,0,"Two men named William Camp and Montagne Beecroft, employed at Messrs. Davey and Sands' slip, Pyrmont, were yesterday mixing some patent paint containing spirits, when by some means an explosion",https://nla.gov.au/nla.news-article100119785,http://trove.nla.gov.au/newspaper/page/9456937
100153924,"TELEGRAMS. SYDNEY, Monday, 10.30 a.m.",367,Goulburn Herald (NSW : 1881 - 1907),3,1890-12-22,Article,1077,N,0,"Tea twentieth seasion of parliament just, closed commenced on the 29th April last, and has therefore lasted nearly eight months. There have been 112 sitting days in the",https://nla.gov.au/nla.news-article100153924,http://trove.nla.gov.au/newspaper/page/9423273
100154394,"TELEGRAMS. SYDNEY, Wednesday, 10.14 a.m.",367,Goulburn Herald (NSW : 1881 - 1907),3,1891-01-07,Article,1005,N,0,"WORK has been resumed by the old hands at all the southern collieries with the exception of Mount Keirs, where free labourers are still employed.",https://nla.gov.au/nla.news-article100154394,http://trove.nla.gov.au/newspaper/page/9423299
100229336,"COMMERCIAL. GOULBURN, Friday evening.",367,Goulburn Herald (NSW : 1881 - 1907),4,1888-12-08,Article,2039,N,0,"BUSINESS generally is dull, still there are a few lines in which activity prevails. The recent rain has caused a spring in the grass and the crops have improved considerably. Dry,",https://nla.gov.au/nla.news-article100229336,http://trove.nla.gov.au/newspaper/page/9455163
100229494,"MONDAY, NOVEMBER 20.",367,Goulburn Herald (NSW : 1881 - 1907),2,1888-11-27,Article,1092,N,1,"Before the Police Magistrate and Mr. Ball. DRUNK AND DISORDERLY.—Sheik Mohammet (an Indian) was fined 5/- or twenty-four hours. DRUNKENNESS.—One defendant, locked up [?]",https://nla.gov.au/nla.news-article100229494,http://trove.nla.gov.au/newspaper/page/9455135
100229979,"CIVIL SIDE. WEDNESDAY, OCTOBER 24.",367,Goulburn Herald (NSW : 1881 - 1907),4,1888-10-25,Article,2615,N,0,"His Honor took his seat at ten o'clock. The legal gentlemen present were Messrs. Pilcher, O. B. Stephen, Colonna-Close, Reid, Butterworth, and Owen (barristers), Betts, Davidson, and H. O'Brien",https://nla.gov.au/nla.news-article100229979,http://trove.nla.gov.au/newspaper/page/9455059
100231061,MOUNT COSTIGAN.,367,Goulburn Herald (NSW : 1881 - 1907),2,1888-12-25,Article,823,N,1,"JUNCTION POINT.—As a rule a new gold rush causes no little amount of excitement amongst diggers, lucky or otherwise, and too often the reports of a rush are exaggerated beyond reason, the consequences",https://nla.gov.au/nla.news-article100231061,http://trove.nla.gov.au/newspaper/page/9455204
100231835,THE BISHOP OF GOULBURN'S TOUR OF VISITATION IN MANARO. (Continued.),367,Goulburn Herald (NSW : 1881 - 1907),4,1888-11-17,Article,3107,N,1,"V. PARISH or BOMBALA.—On Friday the 26th October the Bishop continued his journey from Rocky Hall to Cathcart, under the guidance of the Rev. Canon Betts, who drove him and Mrs. Thomas up the very",https://nla.gov.au/nla.news-article100231835,http://trove.nla.gov.au/newspaper/page/9455113
100231842,"COMMERCIAL. GOULBURN, Friday evening.",367,Goulburn Herald (NSW : 1881 - 1907),5,1888-11-17,Article,1275,N,0,"BUSINESS, considering the season, is fairly brisk, and as the Christmas season approaches a revival may be looked for. The weather has been very trying to vegetation,",https://nla.gov.au/nla.news-article100231842,http://trove.nla.gov.au/newspaper/page/9455114
