0,1,2
Edeepest,LOCATION,18860126-195-65604709 (1 of 2).txt
Grubb,PERSON,18961212-1251-232578923 (1 of 1).txt
Argent Valley,LOCATION,18961212-1251-232578923 (1 of 1).txt
Oolcbrook,ORGANIZATION,18961212-1251-232578923 (1 of 1).txt
West Oolcbrook,LOCATION,18961212-1251-232578923 (1 of 1).txt
North Colebrook,LOCATION,18961212-1251-232578923 (1 of 1).txt
CIOOO,ORGANIZATION,18961212-1251-232578923 (1 of 1).txt
Colebrook,LOCATION,18961212-1251-232578923 (1 of 1).txt
New York,LOCATION,18801230-10-8991754 (1 of 1).txt
San Francisco,LOCATION,18801230-10-8991754 (1 of 1).txt
Auckland,LOCATION,18801230-10-8991754 (1 of 1).txt
Potosi,PERSON,18801230-10-8991754 (1 of 1).txt
Grafton,LOCATION,18801230-10-8991754 (1 of 1).txt
Sydney,LOCATION,18801230-10-8991754 (1 of 1).txt
Rosinante,PERSON,18801230-10-8991754 (1 of 1).txt
Wallsend Coal Company,ORGANIZATION,18801230-10-8991754 (1 of 1).txt
Newcastle,LOCATION,18801230-10-8991754 (1 of 1).txt
Cobar,LOCATION,18801230-10-8991754 (1 of 1).txt
Marquis de Ray,PERSON,18801230-10-8991754 (1 of 1).txt
Windeyer,PERSON,18840314-436-254369866 (1 of 1).txt
Olive,LOCATION,18840314-436-254369866 (1 of 1).txt
J. Devene,PERSON,18840314-436-254369866 (1 of 1).txt
Cass,PERSON,18840314-436-254369866 (1 of 1).txt
Albury,LOCATION,18840314-436-254369866 (1 of 1).txt
T. H. Robertson,PERSON,18840314-436-254369866 (1 of 1).txt
Yackandandah,LOCATION,18840314-436-254369866 (1 of 1).txt
Benambra,LOCATION,18840314-436-254369866 (1 of 1).txt
Christoph AVestendorfTa,PERSON,18840314-436-254369866 (1 of 1).txt
Jindera,LOCATION,18840314-436-254369866 (1 of 1).txt
Lyne,PERSON,18840314-436-254369866 (1 of 1).txt
Minister of Public Instruction,ORGANIZATION,18840314-436-254369866 (1 of 1).txt
W. G. bloom,PERSON,18660113-697-166663015 (2 of 12).txt
C. Logue,PERSON,18660113-697-166663015 (2 of 12).txt
P. O'Brien,PERSON,18660113-697-166663015 (2 of 12).txt
James M'Connell,PERSON,18660113-697-166663015 (2 of 12).txt
Bush,PERSON,18660113-697-166663015 (2 of 12).txt
Victoria,LOCATION,18660113-697-166663015 (2 of 12).txt
South Australia,LOCATION,18660113-697-166663015 (2 of 12).txt
New South Wales,LOCATION,18660113-697-166663015 (2 of 12).txt
Albury,LOCATION,18660113-697-166663015 (2 of 12).txt
Sydney,LOCATION,18910711-906-194111451 (1 of 1).txt
Sam,PERSON,18910711-906-194111451 (1 of 1).txt
Holbourne Railway Company,ORGANIZATION,18630202-13-6483150 (1 of 1).txt
Brighton,LOCATION,18630202-13-6483150 (1 of 1).txt
Williamstown,LOCATION,18630202-13-6483150 (1 of 1).txt
Melbourne,LOCATION,18630202-13-6483150 (1 of 1).txt
North Melbourne,LOCATION,18630202-13-6483150 (1 of 1).txt
Noah,PERSON,18630202-13-6483150 (1 of 1).txt
Robert Strong,PERSON,18950225-30-4550862 (2 of 2).txt
Darlinghurst Gaol,LOCATION,18950225-30-4550862 (2 of 2).txt
Riverina,LOCATION,18950225-30-4550862 (2 of 2).txt
Bywong,LOCATION,18950225-30-4550862 (2 of 2).txt
Grong Grong,PERSON,18950225-30-4550862 (2 of 2).txt
Sydney,LOCATION,18751103-558-150640085 (1 of 1).txt
Bondy,PERSON,18751103-558-150640085 (1 of 1).txt
Gonlbum,LOCATION,18751103-558-150640085 (1 of 1).txt
Eire,ORGANIZATION,18751103-558-150640085 (1 of 1).txt
Adelaide,LOCATION,18751103-558-150640085 (1 of 1).txt
Callao,LOCATION,18751103-558-150640085 (1 of 1).txt
Savings Bank,ORGANIZATION,18751103-558-150640085 (1 of 1).txt
Mrs Eilgate,PERSON,18751103-558-150640085 (1 of 1).txt
Clare,PERSON,18751103-558-150640085 (1 of 1).txt
China,LOCATION,18751103-558-150640085 (1 of 1).txt
Galle,LOCATION,18751103-558-150640085 (1 of 1).txt
Australia,LOCATION,18751103-558-150640085 (1 of 1).txt
Nubia,LOCATION,18751103-558-150640085 (1 of 1).txt
Australia,LOCATION,18751103-558-150640085 (1 of 1).txt
BLAYNEY,LOCATION,18960114-35-14033182 (3 of 14).txt
BOWRAL,LOCATION,18960114-35-14033182 (3 of 14).txt
Bowral,LOCATION,18960114-35-14033182 (3 of 14).txt
Bush,PERSON,18960114-35-14033182 (3 of 14).txt
BULLI,LOCATION,18960114-35-14033182 (3 of 14).txt
BERRIGAN,LOCATION,18960114-35-14033182 (3 of 14).txt
Lorne,LOCATION,18840607-13-6050902 (1 of 2).txt
Jack,PERSON,18750710-52-70583765 (1 of 2).txt
tho Club,LOCATION,18750710-52-70583765 (1 of 2).txt
Maud,PERSON,18750710-52-70583765 (1 of 2).txt
Bank of New Holland,ORGANIZATION,18750710-52-70583765 (1 of 2).txt
Mildmay Shrood,PERSON,18750710-52-70583765 (1 of 2).txt
Frons,PERSON,18750710-52-70583765 (1 of 2).txt
M'Culloch,PERSON,18690603-185-112889580 (1 of 1).txt
Connor,PERSON,18690603-185-112889580 (1 of 1).txt
Colac,LOCATION,18690603-185-112889580 (1 of 1).txt
Bill,PERSON,18690603-185-112889580 (1 of 1).txt
Kitto,PERSON,18690603-185-112889580 (1 of 1).txt
Mr Sullivan,PERSON,18690603-185-112889580 (1 of 1).txt
Barker,PERSON,18690603-185-112889580 (1 of 1).txt
Creek Reservoir,LOCATION,18690603-185-112889580 (1 of 1).txt
Whiteman,PERSON,18690603-185-112889580 (1 of 1).txt
Byrne,PERSON,18690603-185-112889580 (1 of 1).txt
