0,1,2,mappify_buildingName,mappify_numberFirst,mappify_numberFirstPrefix,mappify_numberFirstSuffix,mappify_numberLast,mappify_numberLastPrefix,mappify_numberLastSuffix,mappify_streetName,mappify_streetType,mappify_streetSuffixCode,mappify_suburb,mappify_state,mappify_postCode,mappify_location_lat,mappify_location_lon,mappify_streetAddress
Auckland,LOCATION,18801230-10-8991754 (1 of 1).txt,COLLIE BLUE,null,null,null,null,null,null,BUCKLAND,ROAD,null,BUCKLAND,QLD,4722,-24.51798909,147.7493236,"COLLIE BLUE, BUCKLAND ROAD, BUCKLAND QLD 4722"
Grafton,LOCATION,18801230-10-8991754 (1 of 1).txt,null,18,null,null,null,null,null,GRANTON HEIGHTS,ROAD,null,GRANTON,TAS,7030,-42.76587796,147.2196843,"18 GRANTON HEIGHTS ROAD, GRANTON TAS 7030"
Newcastle,LOCATION,18801230-10-8991754 (1 of 1).txt,null,null,null,null,null,null,null,REDCASTLE CEMETERY,ROAD,null,REDCASTLE,VIC,3523,-36.7923363,144.7858251,"REDCASTLE CEMETERY ROAD, REDCASTLE VIC 3523"
Cobar,LOCATION,18801230-10-8991754 (1 of 1).txt,null,32,null,null,null,null,null,COBAR,STREET,null,COBAR,NSW,2835,-31.52750481,145.85632,"32 COBAR STREET, COBAR NSW 2835"
Albury,LOCATION,18840314-436-254369866 (1 of 1).txt,null,null,null,null,null,null,null,AUBURN,ROAD,null,AUBURN,QLD,4413,-26.13030279,150.6517194,"AUBURN ROAD, AUBURN QLD 4413"
Benambra,LOCATION,18840314-436-254369866 (1 of 1).txt,AERODROME,1665,null,null,null,null,null,BENAMBRA,ROAD,null,BENAMBRA,VIC,3900,-36.97240075,147.7020186,"AERODROME, 1665 BENAMBRA ROAD, BENAMBRA VIC 3900"
Albury,LOCATION,18660113-697-166663015 (2 of 12).txt,null,null,null,null,null,null,null,AUBURN,ROAD,null,AUBURN,QLD,4413,-26.13030279,150.6517194,"AUBURN ROAD, AUBURN QLD 4413"
Brighton,LOCATION,18630202-13-6483150 (1 of 1).txt,null,null,null,null,null,null,null,BRIGHTON,ROAD,null,BRIGHTON,SA,5048,-35.01643158,138.5236609,"BRIGHTON ROAD, BRIGHTON SA 5048"
Melbourne,LOCATION,18630202-13-6483150 (1 of 1).txt,null,6,null,null,null,null,null,MELBOURNE,PLACE,null,MELBOURNE,VIC,3000,-37.81351305,144.9690825,"6 MELBOURNE PLACE, MELBOURNE VIC 3000"
Bywong,LOCATION,18950225-30-4550862 (2 of 2).txt,null,20,null,null,null,null,null,BYWONG TOWN,ROAD,null,BYWONG,NSW,2621,-35.16979886,149.332208,"20 BYWONG TOWN ROAD, BYWONG NSW 2621"
Adelaide,LOCATION,18751103-558-150640085 (1 of 1).txt,null,149,null,null,null,null,null,ADELAIDE,ARCADE,null,ADELAIDE,SA,5000,-34.92373985,138.6038839,"149 ADELAIDE ARCADE, ADELAIDE SA 5000"
Callao,LOCATION,18751103-558-150640085 (1 of 1).txt,null,null,null,null,null,null,null,CALGOA,ROAD,null,CALGOA,QLD,4570,-25.89367568,152.2812719,"CALGOA ROAD, CALGOA QLD 4570"
Nubia,LOCATION,18751103-558-150640085 (1 of 1).txt,null,205,null,null,null,null,null,NUBBA NORTH,ROAD,null,NUBBA,NSW,2587,-34.49100573,148.24639,"205 NUBBA NORTH ROAD, NUBBA NSW 2587"
BOWRAL,LOCATION,18960114-35-14033182 (3 of 14).txt,null,148,null,null,null,null,null,BOWRAL,STREET,null,BOWRAL,NSW,2576,-34.48395124,150.4316378,"148 BOWRAL STREET, BOWRAL NSW 2576"
Bowral,LOCATION,18960114-35-14033182 (3 of 14).txt,null,148,null,null,null,null,null,BOWRAL,STREET,null,BOWRAL,NSW,2576,-34.48395124,150.4316378,"148 BOWRAL STREET, BOWRAL NSW 2576"
BULLI,LOCATION,18960114-35-14033182 (3 of 14).txt,null,149,null,null,null,null,null,BULLA,ROAD,null,BULLA,VIC,3428,-37.63335341,144.8010593,"149 BULLA ROAD, BULLA VIC 3428"
BERRIGAN,LOCATION,18960114-35-14033182 (3 of 14).txt,KIETA,1583,null,null,null,null,null,BERRIGAN,ROAD,null,BERRIGAN,NSW,2712,-35.76684459,145.7515576,"KIETA, 1583 BERRIGAN ROAD, BERRIGAN NSW 2712"
Lorne,LOCATION,18840607-13-6050902 (1 of 2).txt,null,619,null,null,null,null,null,LORNE,ROAD,null,LORNE,NSW,2439,-31.64561917,152.6481013,"619 LORNE ROAD, LORNE NSW 2439"
Colac,LOCATION,18690603-185-112889580 (1 of 1).txt,null,250,null,null,null,null,null,COOLAC,ROAD,null,COOLAC,NSW,2727,-34.94483834,148.1698419,"250 COOLAC ROAD, COOLAC NSW 2727"
Melbourne,LOCATION,18841210-13-6062882 (1 of 2).txt,null,6,null,null,null,null,null,MELBOURNE,PLACE,null,MELBOURNE,VIC,3000,-37.81351305,144.9690825,"6 MELBOURNE PLACE, MELBOURNE VIC 3000"
Chewton,LOCATION,18650615-582-207003170 (1 of 2).txt,null,306,null,null,null,null,null,VAUGHAN-CHEWTON,ROAD,null,CHEWTON,VIC,3451,-37.10655654,144.2528999,"306 VAUGHAN-CHEWTON ROAD, CHEWTON VIC 3451"
