,0,1,2,mappify_suburb,mappify_state,mappify_location_lat,mappify_location_lon,partial ratio
3,COBAR,LOCATION,18801230-10-8991754 (1 of 1).txt,COBAR,NSW,-31.52750481,145.85632,100
5,BENAMBRA,LOCATION,18840314-436-254369866 (1 of 1).txt,BENAMBRA,VIC,-36.97240075,147.7020186,100
7,BRIGHTON,LOCATION,18630202-13-6483150 (1 of 1).txt,BRIGHTON,SA,-35.01643158,138.5236609,100
8,MELBOURNE,LOCATION,18630202-13-6483150 (1 of 1).txt,MELBOURNE,VIC,-37.81351305,144.9690825,100
9,BYWONG,LOCATION,18950225-30-4550862 (2 of 2).txt,BYWONG,NSW,-35.16979886,149.332208,100
10,ADELAIDE,LOCATION,18751103-558-150640085 (1 of 1).txt,ADELAIDE,SA,-34.92373985,138.6038839,100
13,BOWRAL,LOCATION,18960114-35-14033182 (3 of 14).txt,BOWRAL,NSW,-34.48395124,150.4316378,100
14,BOWRAL,LOCATION,18960114-35-14033182 (3 of 14).txt,BOWRAL,NSW,-34.48395124,150.4316378,100
16,BERRIGAN,LOCATION,18960114-35-14033182 (3 of 14).txt,BERRIGAN,NSW,-35.76684459,145.7515576,100
17,LORNE,LOCATION,18840607-13-6050902 (1 of 2).txt,LORNE,NSW,-31.64561917,152.6481013,100
19,MELBOURNE,LOCATION,18841210-13-6062882 (1 of 2).txt,MELBOURNE,VIC,-37.81351305,144.9690825,100
20,CHEWTON,LOCATION,18650615-582-207003170 (1 of 2).txt,CHEWTON,VIC,-37.10655654,144.2528999,100
22,MOUNT CHARLES,LOCATION,18870115-289-93966316 (1 of 1).txt,MOUNT CHARLES,SA,-36.08965903,140.1172933,100
23,COROWA,LOCATION,18981217-52-71321501 (2 of 6).txt,COROWA,NSW,-35.97347729,146.3468727,100
24,ADELAIDE,LOCATION,18771213-41-40473018 (1 of 1).txt,ADELAIDE,SA,-34.92373985,138.6038839,100
25,BROUGHTON,LOCATION,18950906-367-101102490 (1 of 2).txt,BROUGHTON,QLD,-20.12329012,146.4276798,100
29,DUBBO,LOCATION,18950126-493-126613511 (1 of 1).txt,DUBBO,NSW,-32.37824209,148.6914051,100
31,DIAMOND CREEK,LOCATION,18930218-621-221779587 (3 of 5).txt,DIAMOND CREEK,VIC,-37.6805522,145.122711,100
32,MELBOURNE,LOCATION,18930218-621-221779587 (3 of 5).txt,MELBOURNE,VIC,-37.81351305,144.9690825,100
34,COONAMBLE,LOCATION,18910110-698-163657874 (8 of 12).txt,COONAMBLE,NSW,-30.94977099,148.3939328,100
35,RED CREEK,LOCATION,18910110-698-163657874 (8 of 12).txt,RED CREEK,SA,-35.16910828,138.9924624,100
38,ADELAIDE,LOCATION,18800123-30-2982471 (1 of 2).txt,ADELAIDE,SA,-34.92373985,138.6038839,100
42,PORT ALBERT,LOCATION,18600128-8-18650885 (1 of 1).txt,PORT ALBERT,VIC,-38.65290554,146.6969286,100
44,BENDIGO,LOCATION,18600128-8-18650885 (1 of 1).txt,BENDIGO,VIC,-36.76552472,144.280931,100
45,CORNWALL,LOCATION,18600128-8-18650885 (1 of 1).txt,CORNWALL,QLD,-26.14443471,148.481544,100
46,CORNWALL,LOCATION,18600128-8-18650885 (1 of 1).txt,CORNWALL,QLD,-26.14443471,148.481544,100
49,MELBOURNE,LOCATION,18870204-558-150395118 (1 of 1).txt,MELBOURNE,VIC,-37.81351305,144.9690825,100
50,MELBOURNE,LOCATION,18870204-558-150395118 (1 of 1).txt,MELBOURNE,VIC,-37.81351305,144.9690825,100
53,CHEWTON,LOCATION,18650325-13-5742893 (1 of 2).txt,CHEWTON,VIC,-37.10655654,144.2528999,100
54,BEECHWORTH,LOCATION,18650325-13-5742893 (1 of 2).txt,BEECHWORTH,VIC,-36.34129804,146.6902532,100
