,0,1,2,mappify_suburb,mappify_state,mappify_location_lat,mappify_location_lon,partial ratio
0,AUCKLAND,LOCATION,18801230-10-8991754 (1 of 1).txt,BUCKLAND,QLD,-24.51798909,147.7493236,88
1,GRAFTON,LOCATION,18801230-10-8991754 (1 of 1).txt,GRANTON,TAS,-42.76587796,147.2196843,86
2,NEWCASTLE,LOCATION,18801230-10-8991754 (1 of 1).txt,REDCASTLE,VIC,-36.792336299999995,144.78582509999998,78
4,ALBURY,LOCATION,18840314-436-254369866 (1 of 1).txt,AUBURN,QLD,-26.13030279,150.65171940000002,67
6,ALBURY,LOCATION,18660113-697-166663015 (2 of 12).txt,AUBURN,QLD,-26.13030279,150.65171940000002,67
11,CALLAO,LOCATION,18751103-558-150640085 (1 of 1).txt,CALGOA,QLD,-25.89367568,152.2812719,67
12,NUBIA,LOCATION,18751103-558-150640085 (1 of 1).txt,NUBBA,NSW,-34.49100573,148.24639,80
15,BULLI,LOCATION,18960114-35-14033182 (3 of 14).txt,BULLA,VIC,-37.63335341,144.80105930000002,80
18,COLAC,LOCATION,18690603-185-112889580 (1 of 1).txt,COOLAC,NSW,-34.94483834,148.1698419,80
21,BALLARAT,LOCATION,18841210-13-6062882 (1 of 2).txt,BELLARA,QLD,-27.059337300000003,153.15314080000002,86
26,BOERRY,LOCATION,18950906-367-101102490 (1 of 2).txt,KERRY,QLD,-28.18089307,153.0414697,80
28,MUDGEE,LOCATION,18950126-493-126613511 (1 of 1).txt,BUDGEE,QLD,-27.80289538,152.0069916,83
30,LILYDALE,LOCATION,18850220-436-254552772 (1 of 1).txt,LILYVALE,NSW,-34.19332036,151.001026,88
33,ALBURY,LOCATION,18910110-698-163657874 (8 of 12).txt,AUBURN,QLD,-26.13030279,150.65171940000002,67
36,WALGETT,LOCATION,18910110-698-163657874 (8 of 12).txt,DALGETY,NSW,-36.47697891,148.8500323,71
37,CANMORE,LOCATION,18910110-698-163657874 (8 of 12).txt,DALMORE,VIC,-38.19564875,145.42258590000003,71
40,BROOKONG,LOCATION,18931223-52-71193207 (19 of 19).txt,BROOKTON,WA,-32.42961614,116.90474409999999,88
41,EGAN CREEK,LOCATION,18931223-52-71193207 (19 of 19).txt,EDEN CREEK,NSW,-28.57362611,152.9273205,80
