,Placename,Enitity,File,__mappify_error,Latitude,Longitude,State,median_dist
0,Edeepest,LOCATION,18860126-195-65604709 (1 of 2).txt,No match found.,,,None,
1,Argent Valley,LOCATION,18961212-1251-232578923 (1 of 1).txt,No match found.,,,None,
2,West Oolcbrook,LOCATION,18961212-1251-232578923 (1 of 1).txt,No match found.,,,None,
3,North Colebrook,LOCATION,18961212-1251-232578923 (1 of 1).txt,No match found.,,,None,
4,Colebrook,LOCATION,18961212-1251-232578923 (1 of 1).txt,No match found.,147.4852483,-34.0759725,NSW,2.646126995
5,New York,LOCATION,18801230-10-8991754 (1 of 1).txt,No match found.,116.3795,-31.53099,WA,0
6,San Francisco,LOCATION,18801230-10-8991754 (1 of 1).txt,No match found.,,,None,
7,Sydney,LOCATION,18801230-10-8991754 (1 of 1).txt,No match found.,151.2094444,-33.865,NSW,0.002685185
8,Olive,LOCATION,18840314-436-254369866 (1 of 1).txt,No match found.,141.8705556,-29.08777778,NSW,3.454582409
9,Yackandandah,LOCATION,18840314-436-254369866 (1 of 1).txt,No match found.,146.8398611,-36.31263733,VIC,0.020599326
10,Jindera,LOCATION,18840314-436-254369866 (1 of 1).txt,No match found.,146.8844444,-35.965,NSW,0.022222222
11,Victoria,LOCATION,18660113-697-166663015 (2 of 12).txt,No match found.,148.1344444,-33.93027778,NSW,4.494904881
12,South Australia,LOCATION,18660113-697-166663015 (2 of 12).txt,No match found.,137.305178,-32.4907365,SA,3.424218639
13,New South Wales,LOCATION,18660113-697-166663015 (2 of 12).txt,No match found.,147.0177778,-32.16166667,NSW,0
14,Sydney,LOCATION,18910711-906-194111451 (1 of 1).txt,No match found.,151.2094444,-33.865,NSW,0.002685185
15,Williamstown,LOCATION,18630202-13-6483150 (1 of 1).txt,No match found.,141.8903039,-36.35775167,Ambiguous,3.706956091
16,North Melbourne,LOCATION,18630202-13-6483150 (1 of 1).txt,No match found.,144.9465278,-37.80291748,VIC,0.006746413
17,Darlinghurst Gaol,LOCATION,18950225-30-4550862 (2 of 2).txt,No match found.,151.218,-33.8793,No best estimate,0
18,Riverina,LOCATION,18950225-30-4550862 (2 of 2).txt,No match found.,115.8173,-33.25685,WA,2.098465317
19,Sydney,LOCATION,18751103-558-150640085 (1 of 1).txt,No match found.,151.2094444,-33.865,NSW,0.002685185
20,Gonlbum,LOCATION,18751103-558-150640085 (1 of 1).txt,No match found.,,,None,
21,China,LOCATION,18751103-558-150640085 (1 of 1).txt,No match found.,,,None,
22,Galle,LOCATION,18751103-558-150640085 (1 of 1).txt,No match found.,138.7436793,-34.771035,SA,1.111520369
23,Australia,LOCATION,18751103-558-150640085 (1 of 1).txt,No match found.,137.13828,-28.61389,Ambiguous,0
24,Australia,LOCATION,18751103-558-150640085 (1 of 1).txt,No match found.,137.13828,-28.61389,Ambiguous,0
25,BLAYNEY,LOCATION,18960114-35-14033182 (3 of 14).txt,No match found.,149.2511111,-33.53166667,NSW,0
26,tho Club,LOCATION,18750710-52-70583765 (1 of 2).txt,No match found.,148.0700073,-42.58000183,TAS,0
27,Creek Reservoir,LOCATION,18690603-185-112889580 (1 of 1).txt,No match found.,145.41875,-37.15097046,Ambiguous,3.063226577
28,Sydney,LOCATION,18970225-1093-209084622 (2 of 4).txt,No match found.,151.2094444,-33.865,NSW,0.002685185
29,Dungogan,LOCATION,18970225-1093-209084622 (2 of 4).txt,No match found.,151.1677778,-31.23166667,NSW,0.100901543
30,Maitland,LOCATION,18970225-1093-209084622 (2 of 4).txt,No match found.,151.5511111,-32.74833333,Ambiguous,5.60926681
31,Temperance Hall,LOCATION,18910311-250-252178966 (2 of 3).txt,No match found.,,,None,
32,Peninsula,LOCATION,18691231-966-197653325 (3 of 5).txt,No match found.,116.0693,-31.96788,WA,2.628063724
33,Town Hall,LOCATION,18650615-582-207003170 (1 of 2).txt,No match found.,144.8703339,-34.43839,Ambiguous,6.373289576
34,LA,LOCATION,18841210-13-6062882 (1 of 2).txt,No match found.,,,None,
35,Upper Murray,LOCATION,18981217-52-71321501 (2 of 6).txt,No match found.,116.2814,-32.99,WA,0
