Placename,Enitity,File,__mappify_error
Edeepest,LOCATION,18860126-195-65604709 (1 of 2).txt,No match found.
Argent Valley,LOCATION,18961212-1251-232578923 (1 of 1).txt,No match found.
West Oolcbrook,LOCATION,18961212-1251-232578923 (1 of 1).txt,No match found.
North Colebrook,LOCATION,18961212-1251-232578923 (1 of 1).txt,No match found.
Colebrook,LOCATION,18961212-1251-232578923 (1 of 1).txt,No match found.
New York,LOCATION,18801230-10-8991754 (1 of 1).txt,No match found.
San Francisco,LOCATION,18801230-10-8991754 (1 of 1).txt,No match found.
Sydney,LOCATION,18801230-10-8991754 (1 of 1).txt,No match found.
Olive,LOCATION,18840314-436-254369866 (1 of 1).txt,No match found.
Yackandandah,LOCATION,18840314-436-254369866 (1 of 1).txt,No match found.
Jindera,LOCATION,18840314-436-254369866 (1 of 1).txt,No match found.
Victoria,LOCATION,18660113-697-166663015 (2 of 12).txt,No match found.
South Australia,LOCATION,18660113-697-166663015 (2 of 12).txt,No match found.
New South Wales,LOCATION,18660113-697-166663015 (2 of 12).txt,No match found.
Sydney,LOCATION,18910711-906-194111451 (1 of 1).txt,No match found.
Williamstown,LOCATION,18630202-13-6483150 (1 of 1).txt,No match found.
North Melbourne,LOCATION,18630202-13-6483150 (1 of 1).txt,No match found.
Darlinghurst Gaol,LOCATION,18950225-30-4550862 (2 of 2).txt,No match found.
Riverina,LOCATION,18950225-30-4550862 (2 of 2).txt,No match found.
Sydney,LOCATION,18751103-558-150640085 (1 of 1).txt,No match found.
Gonlbum,LOCATION,18751103-558-150640085 (1 of 1).txt,No match found.
China,LOCATION,18751103-558-150640085 (1 of 1).txt,No match found.
Galle,LOCATION,18751103-558-150640085 (1 of 1).txt,No match found.
Australia,LOCATION,18751103-558-150640085 (1 of 1).txt,No match found.
Australia,LOCATION,18751103-558-150640085 (1 of 1).txt,No match found.
BLAYNEY,LOCATION,18960114-35-14033182 (3 of 14).txt,No match found.
tho Club,LOCATION,18750710-52-70583765 (1 of 2).txt,No match found.
Creek Reservoir,LOCATION,18690603-185-112889580 (1 of 1).txt,No match found.
Sydney,LOCATION,18970225-1093-209084622 (2 of 4).txt,No match found.
Dungogan,LOCATION,18970225-1093-209084622 (2 of 4).txt,No match found.
Maitland,LOCATION,18970225-1093-209084622 (2 of 4).txt,No match found.
Temperance Hall,LOCATION,18910311-250-252178966 (2 of 3).txt,No match found.
Peninsula,LOCATION,18691231-966-197653325 (3 of 5).txt,No match found.
Town Hall,LOCATION,18650615-582-207003170 (1 of 2).txt,No match found.
LA,LOCATION,18841210-13-6062882 (1 of 2).txt,No match found.
Upper Murray,LOCATION,18981217-52-71321501 (2 of 6).txt,No match found.
Tasmania,LOCATION,18950906-367-101102490 (1 of 2).txt,No match found.
Wol,LOCATION,18950906-367-101102490 (1 of 2).txt,No match found.
Victoria,LOCATION,18950828-1220-233887091 (1 of 3).txt,No match found.
Summer Island,LOCATION,18720917-65-61879754 (4 of 5).txt,No match found.
Summer Island,LOCATION,18720917-65-61879754 (4 of 5).txt,No match found.
N.E.,LOCATION,18720917-65-61879754 (4 of 5).txt,No match found.
Kempsey,LOCATION,18720917-65-61879754 (4 of 5).txt,No match found.
Sydney,LOCATION,18950126-493-126613511 (1 of 1).txt,No match found.
Munmurra River,LOCATION,18950126-493-126613511 (1 of 1).txt,No match found.
Mount Macedon,LOCATION,18850220-436-254552772 (1 of 1).txt,No match found.
West Gippsland,LOCATION,18930218-621-221779587 (3 of 5).txt,No match found.
Great Southern,LOCATION,18930218-621-221779587 (3 of 5).txt,No match found.
Tupra,LOCATION,18910110-698-163657874 (8 of 12).txt,No match found.
Killarney,LOCATION,18910110-698-163657874 (8 of 12).txt,No match found.
Budderabong,LOCATION,18910110-698-163657874 (8 of 12).txt,No match found.
Mickie 's Plains,LOCATION,18910110-698-163657874 (8 of 12).txt,No match found.
GOODOOGA,LOCATION,18910110-698-163657874 (8 of 12).txt,No match found.
Queensland,LOCATION,18910110-698-163657874 (8 of 12).txt,No match found.
Brewarrina,LOCATION,18910110-698-163657874 (8 of 12).txt,No match found.
GUNDAGAI,LOCATION,18910110-698-163657874 (8 of 12).txt,No match found.
Bridge Inn,LOCATION,18650301-809-155027199 (10 of 13).txt,No match found.
Wagga,LOCATION,18931223-52-71193207 (19 of 19).txt,No match found.
Bullenbong,LOCATION,18931223-52-71193207 (19 of 19).txt,No match found.
Eunonyhareenyha Station,LOCATION,18931223-52-71193207 (19 of 19).txt,No match found.
Yerong Creek Railway Station,LOCATION,18931223-52-71193207 (19 of 19).txt,No match found.
NARRABRI,LOCATION,18931223-52-71193207 (19 of 19).txt,No match found.
Nandewar Ranges,LOCATION,18931223-52-71193207 (19 of 19).txt,No match found.
Epsom,LOCATION,18600128-8-18650885 (1 of 1).txt,No match found.
Indented Heads,LOCATION,18660308-558-147267336 (1 of 2).txt,No match found.
