article_id,article_placename,latitude_1,longitude_2,State_2,mean_median_dist,median_median_dist,n_results,winnerPct,searchType,filename_2
65604709,Edeepest,,,None,,,0,,None,18860126-195-65604709 (1 of 2).txt
232578923,Argent Valley,,,None,,,0,,None,18961212-1251-232578923 (1 of 1).txt
232578923,West Oolcbrook,,,None,,,0,,None,18961212-1251-232578923 (1 of 1).txt
232578923,North Colebrook,,,None,,,0,,None,18961212-1251-232578923 (1 of 1).txt
232578923,Colebrook,147.4852483,-34.0759725,NSW,2.646126995,2.646126995,3,66.66666667,exact,18961212-1251-232578923 (1 of 1).txt
8991754,New York,,,None,,,0,,None,18801230-10-8991754 (1 of 1).txt
8991754,San Francisco,,,None,,,0,,None,18801230-10-8991754 (1 of 1).txt
8991754,Auckland,150.3844444,-34.67333333,NSW,2.274206211,2.274206211,3,66.66666667,exact,18801230-10-8991754 (1 of 1).txt
8991754,Grafton,152.9011111,-29.68166667,NSW,0.187713535,0.033333333,6,66.66666667,exact,18801230-10-8991754 (1 of 1).txt
8991754,Sydney,151.2094444,-33.865,NSW,0.002685185,0,5,60,exact,18801230-10-8991754 (1 of 1).txt
8991754,Newcastle,151.7177778,-32.865,NSW,1.579793292,0.094280904,4,75,exact,18801230-10-8991754 (1 of 1).txt
8991754,Cobar,145.8344444,-31.50583333,NSW,1.150183535,0.0075,7,71.42857143,exact,18801230-10-8991754 (1 of 1).txt
254369866,Olive,141.8705556,-29.08777778,NSW,3.454582409,0.053333333,4,75,exact,18840314-436-254369866 (1 of 1).txt
254369866,Albury,146.9011111,-36.065,NSW,0.010796656,0.015723302,4,75,exact,18840314-436-254369866 (1 of 1).txt
254369866,Yackandandah,146.8398611,-36.31263733,VIC,0.020599326,0.002640171,5,60,exact,18840314-436-254369866 (1 of 1).txt
254369866,Benambra,147.7031979,-36.72541762,VIC,0.237860229,0.231133798,4,100,exact,18840314-436-254369866 (1 of 1).txt
254369866,Jindera,146.8844444,-35.965,NSW,0.022222222,0.033333333,3,100,exact,18840314-436-254369866 (1 of 1).txt
166663015,Victoria,148.1344444,-33.93027778,NSW,4.494904881,3.929359113,11,63.63636364,exact,18660113-697-166663015 (2 of 12).txt
166663015,South Australia,137.305178,-32.4907365,SA,3.424218639,3.424218639,2,100,exact,18660113-697-166663015 (2 of 12).txt
166663015,New South Wales,147.0177778,-32.16166667,NSW,0,0,1,100,exact,18660113-697-166663015 (2 of 12).txt
166663015,Albury,146.9011111,-36.065,NSW,0.010796656,0.015723302,4,75,exact,18660113-697-166663015 (2 of 12).txt
194111451,Sydney,151.2094444,-33.865,NSW,0.002685185,0,5,60,exact,18910711-906-194111451 (1 of 1).txt
6483150,Brighton,148.6614655,-31.915,Ambiguous,6.263059509,6.376288911,15,,exact,18630202-13-6483150 (1 of 1).txt
6483150,Williamstown,141.8903039,-36.35775167,Ambiguous,3.706956091,3.40694793,9,,exact,18630202-13-6483150 (1 of 1).txt
6483150,Melbourne,144.9752778,-37.82986111,VIC,0.012223011,0.012223011,5,40,exact,18630202-13-6483150 (1 of 1).txt
6483150,North Melbourne,144.9465278,-37.80291748,VIC,0.006746413,0.006298902,5,100,exact,18630202-13-6483150 (1 of 1).txt
4550862,Darlinghurst Gaol,151.218,-33.8793,No best estimate,0,0,1,100,exact,18950225-30-4550862 (2 of 2).txt
4550862,Riverina,115.8173,-33.25685,WA,2.098465317,0.393354462,4,75,exact,18950225-30-4550862 (2 of 2).txt
4550862,Bywong,149.2710912,-35.12972992,NSW,0.639344334,0.072509376,7,85.71428571,exact,18950225-30-4550862 (2 of 2).txt
150640085,Sydney,151.2094444,-33.865,NSW,0.002685185,0,5,60,exact,18751103-558-150640085 (1 of 1).txt
150640085,Gonlbum,,,None,,,0,,None,18751103-558-150640085 (1 of 1).txt
150640085,Adelaide,139.172745,-35.667645,SA,2.131542021,1.888444573,4,100,exact,18751103-558-150640085 (1 of 1).txt
150640085,Callao,,,None,,,0,,None,18751103-558-150640085 (1 of 1).txt
150640085,China,,,None,,,0,,None,18751103-558-150640085 (1 of 1).txt
150640085,Galle,,,None,,,0,,None,18751103-558-150640085 (1 of 1).txt
150640085,Australia,137.13828,-28.61389,Ambiguous,0,0,2,,exact,18751103-558-150640085 (1 of 1).txt
150640085,Nubia,,,None,,,0,,None,18751103-558-150640085 (1 of 1).txt
150640085,Australia,137.13828,-28.61389,Ambiguous,0,0,2,,exact,18751103-558-150640085 (1 of 1).txt
14033182,BLAYNEY,149.2511111,-33.53166667,NSW,0,0,2,100,exact,18960114-35-14033182 (3 of 14).txt
14033182,BOWRAL,150.4177778,-34.48166667,NSW,0,0,2,100,exact,18960114-35-14033182 (3 of 14).txt
14033182,Bowral,150.4177778,-34.48166667,NSW,0,0,2,100,exact,18960114-35-14033182 (3 of 14).txt
14033182,BULLI,150.9177778,-34.32888889,NSW,0.016296296,0.015555556,4,75,exact,18960114-35-14033182 (3 of 14).txt
14033182,BERRIGAN,145.8241667,-35.59833333,NSW,0.875900356,0.093772169,6,100,exact,18960114-35-14033182 (3 of 14).txt
6050902,Lorne,147.9740645,-31.64833333,Ambiguous,5.785450713,4.677046611,11,,exact,18840607-13-6050902 (1 of 2).txt
70583765,tho Club,,,None,,,0,,None,18750710-52-70583765 (1 of 2).txt
112889580,Colac,143.5873566,-38.3409729,VIC,0.004472854,0.003973361,5,60,exact,18690603-185-112889580 (1 of 1).txt
112889580,Creek Reservoir,,,None,,,0,,None,18690603-185-112889580 (1 of 1).txt
209084622,Sydney,151.2094444,-33.865,NSW,0.002685185,0,5,60,exact,18970225-1093-209084622 (2 of 4).txt
209084622,Dungogan,,,None,,,0,,None,18970225-1093-209084622 (2 of 4).txt
209084622,Maitland,151.5511111,-32.74833333,Ambiguous,5.60926681,0.050307695,6,,exact,18970225-1093-209084622 (2 of 4).txt
252178966,Temperance Hall,,,None,,,0,,None,18910311-250-252178966 (2 of 3).txt
197653325,Peninsula,116.0693,-31.96788,WA,2.628063724,1.95898,4,75,exact,18691231-966-197653325 (3 of 5).txt
207003170,Town Hall,144.8703339,-34.43839,Ambiguous,6.373289576,6.373289576,2,,exact,18650615-582-207003170 (1 of 2).txt
207003170,Chewton,144.2595833,-37.08486176,VIC,0.009028044,0.004445093,3,100,exact,18650615-582-207003170 (1 of 2).txt
6062882,Melbourne,144.9752778,-37.82986111,VIC,0.012223011,0.012223011,5,40,exact,18841210-13-6062882 (1 of 2).txt
