Placename,Filename,Filename.1,mappify_suburb,mappify_state,mappify_location_lat,mappify_location_lon,partial ratio,Trove_id,title,newspaper_id,newspaper_title,page,date,category,words,illustrated,corrections,snippet,url,page_url
PERTH,LOCATION,18380210-6-639641 (1 of 1).txt,PERTH,TAS,-41.56450256,147.1841337,100,6,CLASSICAL AND ENGLISH SCHOOLS.,6,The Perth Gazette and Western Australian Journal (WA : 1833 - 1847),21,1838-02-10,Article,363,N,2,"IT was intimated by us in our last number, that measures were in agitation for effectually promoting the education of all classes of the younger branches of the",https://nla.gov.au/nla.news-article639641,http://trove.nla.gov.au/newspaper/page/1130
GUILDFORD,LOCATION,18380210-6-639641 (1 of 1).txt,GUILDFORD,VIC,-37.14903485,144.1465336,100,6,CLASSICAL AND ENGLISH SCHOOLS.,6,The Perth Gazette and Western Australian Journal (WA : 1833 - 1847),21,1838-02-10,Article,363,N,2,"IT was intimated by us in our last number, that measures were in agitation for effectually promoting the education of all classes of the younger branches of the",https://nla.gov.au/nla.news-article639641,http://trove.nla.gov.au/newspaper/page/1130
PERTH,LOCATION,18360206-6-640558 (1 of 2).txt,PERTH,TAS,-41.56450256,147.1841337,100,6,"THE WESTERN AUSTRALIAN JOURNAL. SATURDAY, FEBRUARY 6, 1836",6,The Perth Gazette and Western Australian Journal (WA : 1833 - 1847),646,1836-02-06,Article,811,N,9,"QUARTERLY MEETING OF THE MEMBERS OF THE AGRICULTURAL SOCIETY, HELD AT THE CLEIKUM INN, GUILDFORD, ON FRIDAY 5TH INST.—The Meeting was numerously attended, and much",https://nla.gov.au/nla.news-article640558,http://trove.nla.gov.au/newspaper/page/680
PERTH,LOCATION,18351219-6-640616 (1 of 1).txt,PERTH,TAS,-41.56450256,147.1841337,100,6,1835. SKETCH OF OCCURRENCES DURING THE YEAR.,6,The Perth Gazette and Western Australian Journal (WA : 1833 - 1847),618,1835-12-19,Article,432,N,4,"JAN.—The wreck of the Cumberland found near Mangles Bay. The bakers not able to supply their customers, owing to the absence of effective mills. Recapitulation of Receipts and Expenditure of the",https://nla.gov.au/nla.news-article640616,http://trove.nla.gov.au/newspaper/page/651
HUON,LOCATION,18540201-8-679739 (1 of 2).txt,HUON,VIC,-36.21994853,147.0679002,100,8,Colonial News. VICTORIA.,8,The Maitland Mercury and Hunter River General Advertiser (NSW : 1843 - 1893),4,1854-02-01,Article,4273,N,37,"We have Melbourne papers to the 24th January. The steamer summary of the Argus, published in that paper of the 20th January,",https://nla.gov.au/nla.news-article679739,http://trove.nla.gov.au/newspaper/page/128182
WINDSOR,LOCATION,18541223-8-696233 (4 of 5).txt,WINDSOR,SA,-34.43202712,138.36673159999998,100,8,"Sydney News. MR. PARKES, M.C.—MEETING OF THE ELECTORS OF THE CITY OF SYDNEY. (Abridged from the Sydney papers, Dec. 19.)",8,The Maitland Mercury and Hunter River General Advertiser (NSW : 1843 - 1893),2 S,1854-12-23,Article,3383,N,0,"A meeting of the electors of the city of Sydney was held in the Victoria Theatre on Monday, on the invitation of Mr. Parkes, who proposed giving an account of his",https://nla.gov.au/nla.news-article696233,http://trove.nla.gov.au/newspaper/page/128743
ADELAIDE,LOCATION,18590208-7-788749 (1 of 1).txt,ADELAIDE,SA,-34.92373985,138.60388390000003,100,7,No title,7,"The South Australian Advertiser (Adelaide, SA : 1858 - 1889)",3,1859-02-08,Article,779,N,1,"TERRIFIC BUSH FIRE.—The fire which has beep noticed for the last two night[?] in the South-East has proved to be much more destructive than, any one contemplated. We are informed by a gentleman who",https://nla.gov.au/nla.news-article788749,http://trove.nla.gov.au/newspaper/page/4458
MELBOURNE,LOCATION,18590316-7-790406 (1 of 1).txt,MELBOURNE,VIC,-37.81351305,144.96908249999998,100,7,"[SECOND TELEGRAM.] [From our General Correspondent.] VICTORIA. BRUTAL MURDER NEAR BRIGHTON. Melbourne, March 15.",7,"The South Australian Advertiser (Adelaide, SA : 1858 - 1889)",2,1859-03-16,Article,115,N,0,"A brutal murder has been committed near Brighton. An Englishman, named Oldham, had been drinking with several Irishmen; after which a quarrel arose. Six Irishmen then kicked",https://nla.gov.au/nla.news-article790406,http://trove.nla.gov.au/newspaper/page/4586
BRIGHTON,LOCATION,18590316-7-790406 (1 of 1).txt,BRIGHTON,SA,-35.01643158,138.5236609,100,7,"[SECOND TELEGRAM.] [From our General Correspondent.] VICTORIA. BRUTAL MURDER NEAR BRIGHTON. Melbourne, March 15.",7,"The South Australian Advertiser (Adelaide, SA : 1858 - 1889)",2,1859-03-16,Article,115,N,0,"A brutal murder has been committed near Brighton. An Englishman, named Oldham, had been drinking with several Irishmen; after which a quarrel arose. Six Irishmen then kicked",https://nla.gov.au/nla.news-article790406,http://trove.nla.gov.au/newspaper/page/4586
BRIGHTON,LOCATION,18590316-7-790406 (1 of 1).txt,BRIGHTON,SA,-35.01643158,138.5236609,100,7,"[SECOND TELEGRAM.] [From our General Correspondent.] VICTORIA. BRUTAL MURDER NEAR BRIGHTON. Melbourne, March 15.",7,"The South Australian Advertiser (Adelaide, SA : 1858 - 1889)",2,1859-03-16,Article,115,N,0,"A brutal murder has been committed near Brighton. An Englishman, named Oldham, had been drinking with several Irishmen; after which a quarrel arose. Six Irishmen then kicked",https://nla.gov.au/nla.news-article790406,http://trove.nla.gov.au/newspaper/page/4586
