UUID,FILE,QUOTE_TRANSCRIPTION,ANCHOR,TYPE,Inidgenous,URI,VOCAB_LABEL,VOCAB_TEMPORAL_BOUNDS,LAT,LNG,STATE,VERIFICATION_STATUS,NF/NB,INDIGENOUS NAME OR STATION
e0f38d27-77e0-408b-bfd9-8b59cf0391a0,613_7_11_1891_5_I_HOW IT BEGAN._19002990.txt,Pierson,char-offset:178,PERSON,,,,,,,,,,
a5616071-bac5-40ec-855e-13a37c8465ab,613_7_11_1891_5_I_HOW IT BEGAN._19002990.txt,Blexley,char-offset:253,PERSON,,,,,,,,,,
a38c9c79-3953-47ab-8ec8-b720edb9d50d,613_7_11_1891_5_I_HOW IT BEGAN._19002990.txt,Blexley,char-offset:304,PERSON,,,,,,,,,,
2fb7b69e-f2de-4d79-abf3-6a5b71d2e10b,613_7_11_1891_5_I_HOW IT BEGAN._19002990.txt,Blexley,char-offset:350,PERSON,,,,,,,,,,
6bfd5596-c57c-4f7e-8382-7bc2fd8ce357,613_7_11_1891_5_I_HOW IT BEGAN._19002990.txt,Blexley,char-offset:532,PERSON,,,,,,,,,,
6dae9094-6c39-46fc-ba19-b11a5db7178d,613_7_11_1891_5_I_HOW IT BEGAN._19002990.txt,Dorothy,char-offset:679,PERSON,,,,,,,,,,
d548e935-ba12-41e9-b0a4-988e1619e0c1,613_7_11_1891_5_I_HOW IT BEGAN._19002990.txt,Whai,char-offset:772,PERSON,,,,,,,,,,
80f0f881-39c2-4a30-b9d8-72bf7346ed27,613_7_11_1891_5_I_HOW IT BEGAN._19002990.txt,Dorothy,char-offset:778,PERSON,,,,,,,,,,
16c9424c-62a6-4dfa-8e67-3f1d9a7f2f52,613_7_11_1891_5_I_HOW IT BEGAN._19002990.txt,Pierson,char-offset:865,PERSON,,,,,,,,,,
da426b7c-360d-4da2-80b3-d508e3bec698,613_7_11_1891_5_I_HOW IT BEGAN._19002990.txt,Blexley,char-offset:1051,PERSON,,,,,,,,,,
a5c464e3-a797-427e-ad08-5502a40e53bf,613_7_11_1891_5_I_HOW IT BEGAN._19002990.txt,Dorothy,char-offset:1072,PERSON,,,,,,,,,,
17a93248-e40b-4382-82df-eb58e9723ce0,613_7_11_1891_5_I_HOW IT BEGAN._19002990.txt,Blexley,char-offset:1184,PLACE,,,,,,,,UNVERIFIED,,
0e9c58c9-961e-432d-8cbf-ba37b84f10d9,613_7_11_1891_5_I_HOW IT BEGAN._19002990.txt,Blexley,char-offset:1393,PERSON,,,,,,,,,,
00bc6712-a079-4736-ab17-233752576a0b,613_7_11_1891_5_I_HOW IT BEGAN._19002990.txt,Lijah,char-offset:1498,PERSON,,,,,,,,,,
25f893ae-9a88-461f-934b-941dc1c2813f,613_7_11_1891_5_I_HOW IT BEGAN._19002990.txt,Starks,char-offset:1814,PERSON,,,,,,,,,,
d532e746-4ca9-4136-b91d-4f9e6c1b130f,613_7_11_1891_5_I_HOW IT BEGAN._19002990.txt,Blexley,char-offset:1853,PERSON,,,,,,,,,,
68350792-896d-4642-8587-faabdbf81858,613_7_11_1891_5_I_HOW IT BEGAN._19002990.txt,Blexley,char-offset:2305,PERSON,,,,,,,,,,
54f54d89-f565-4411-bd1a-835c58188df1,613_7_11_1891_5_I_HOW IT BEGAN._19002990.txt,Dorothy,char-offset:2339,PERSON,,,,,,,,,,
8e02730b-6e64-432e-b819-a6e80c1543bb,613_7_11_1891_5_I_HOW IT BEGAN._19002990.txt,Blexley,char-offset:2422,PERSON,,,,,,,,,,
65dd7b8f-c5d5-4e76-b3f5-91db728cc870,613_7_11_1891_5_I_HOW IT BEGAN._19002990.txt,Dorothy,char-offset:2562,PERSON,,,,,,,,,,
a4de8e08-8796-4312-8b72-1a746b99bc35,613_7_11_1891_5_I_HOW IT BEGAN._19002990.txt,Miller,char-offset:2634,PERSON,,,,,,,,,,
ee326976-9688-44ba-bc82-c6b42cd55e61,613_7_11_1891_5_I_HOW IT BEGAN._19002990.txt,Dorothy,char-offset:2763,PERSON,,,,,,,,,,
5a26f895-16cc-4341-abd7-86dc7df1ae5b,613_7_11_1891_5_I_HOW IT BEGAN._19002990.txt,Blexley,char-offset:3157,PERSON,,,,,,,,,,
1e820437-f92a-428f-b6a1-5ac5e229cb59,613_7_11_1891_5_I_HOW IT BEGAN._19002990.txt,Blexleys,char-offset:3428,PERSON,,,,,,,,,,
9b815bcd-43d5-4568-8507-7e380c5c55bc,613_7_11_1891_5_I_HOW IT BEGAN._19002990.txt,Blexley,char-offset:3646,PERSON,,,,,,,,,,
51b7df08-65fb-497a-8330-2d702f8470a4,613_7_11_1891_5_I_HOW IT BEGAN._19002990.txt,Silas Pierson,char-offset:3787,PERSON,,,,,,,,,,
1ac02279-8f8c-4032-9a44-e7e0fdb5e8b2,613_7_11_1891_5_I_HOW IT BEGAN._19002990.txt,Miss,char-offset:3883,PLACE,,,,,,,,UNVERIFIED,,
9e09c101-f4bc-40a4-8ccd-7824e8d32d77,613_7_11_1891_5_I_HOW IT BEGAN._19002990.txt,Blexley,char-offset:3888,PERSON,,,,,,,,,,
e00bb9bb-30ff-4f89-bddb-173752c187c1,613_7_11_1891_5_I_HOW IT BEGAN._19002990.txt,Dorothy,char-offset:4298,PERSON,,,,,,,,,,
4d161907-7301-4443-a8eb-c53eec8dfbbb,613_7_11_1891_5_I_HOW IT BEGAN._19002990.txt,Jim Blexley,char-offset:4332,PERSON,,,,,,,,,,
