place,anps id,state,lga,parish,feature_term,longitude,latitude,source,flag,description,datestart,dateend,external_url
Bendeena,303248,NSW,,,homestead,148.139123,-29.488575,State Records (ANPS),,,,,
Bendemeer,2195,NSW,PARRY,BENDEMEER,parish,150.1844444,-30.865,State Records (TLCM),Uses GDA94 Coordinates instead of WGS84,A lands administrative division.           ,,,
Bendemeer,2196,NSW,BREWARRINA,NAVINA,trig station,146.8677778,-30.08166667,State Records (TLCM),Uses GDA94 Coordinates instead of WGS84,A major trig station on Bendemeer Mountain. TS6919           ,,,
Bendemeer,2197,NSW,PARRY,BENDEMEER,trig station,151.1511111,-30.83166667,State Records (TLCM),Uses GDA94 Coordinates instead of WGS84,A Trig Station situated about 4 km NNW of Bendemeer. TS851.           ,,,
Bendemeer,2198,NSW,PARRY,BENDEMEER,locality (bounded),151.1511111,-30.88166667,State Records (TLCM),Uses GDA94 Coordinates instead of WGS84,Situated at the intersection of the New England and Oxley Highway 40 km N of Tamworth.   Boundaries shown on map marked GNB 3797       ,,,
Bendemeer,302027,NSW,,,homestead,146.20492,-30.31068,State Records (ANPS),,,,,
Bendemeer,313407,NSW,,,homestead,145.498401,-35.781552,State Records (ANPS),,,,,
Bendemere,148961,QLD,,,homestead,149.4,-26.5,State Records (ANPS),,"Alternative Name: --; Location: 149°24'00"" E, 26°30'00"" S; QLD Comments: --; Unapproved; Current",,,
Bendemere,148962,QLD,,,parish,149.4333333,-26.51666667,State Records (ANPS),,"Alternative Name: --; Location: 149°26'00"" E, 26°31'00"" S; QLD Comments: --; Approved; Current",,,
Bendemere,319399,NSW,,,homestead,148.854925,-33.7776865,State Records (ANPS),,,,,
Bendemere,319585,NSW,,,homestead,149.5262045,-34.5675805,State Records (ANPS),,,,,
Boorooma,9081,NSW,WALGETT,BOOROOMA,parish,147.4855556,-30.01222222,State Records (TLCM),Uses GDA94 Coordinates instead of WGS84,A parish in the Western Division Parish DP No. 752654          ,,,
Boorooma,9082,NSW,WAGGA WAGGA,NORTH WAGGA WAGGA,suburb,147.3677778,-35.07222222,State Records (TLCM),Uses GDA94 Coordinates instead of WGS84,"A suburb of Wagga Wagga, located east of Boorooma Street, about 24 km N of Wagga Wagga Railway Station.   Boundaries within the Wagga Wagga Council area shown on map GNB3814.       ",,,
Boorooma,302000,NSW,,,homestead,146.47316,-31.21759,State Records (ANPS),,,,,
Boorooma,303933,NSW,,,homestead,147.465555,-30.1037915,State Records (ANPS),,,,,
Burra,13109,NSW,TUMBARUMBA,BURRA,locality (bounded),148.0905556,-35.82388889,State Records (TLCM),Uses GDA94 Coordinates instead of WGS84,A locality about 7km east south east of Tumbarumba and about 20km north of Tooma.   Boundaries shown on map marked GNB 3808.       ,,,
Burra,13110,NSW,EUROBODALLA,BURRA,parish,149.9511111,-35.89833333,State Records (TLCM),Uses GDA94 Coordinates instead of WGS84,A lands administrative division.           ,,,
Burra,13111,NSW,LACHLAN,BURRA,parish,147.4011111,-32.715,State Records (TLCM),Uses GDA94 Coordinates instead of WGS84,A lands administrative division.           ,,,
Burra,13112,NSW,YARROWLUMLA,BURRA,parish,149.2177778,-35.53166667,State Records (TLCM),Uses GDA94 Coordinates instead of WGS84,A lands administrative division.           ,,,
Burra,13113,NSW,GUNDAGAI,BURRA,parish,148.0011111,-34.89833333,State Records (TLCM),Uses GDA94 Coordinates instead of WGS84,A lands administrative division.           ,,,
Burra,13114,NSW,GUNDAGAI,NANGUS,trig station,148.0011111,-34.965,State Records (TLCM),Uses GDA94 Coordinates instead of WGS84,A trig station about 5.5km ESE from Pinnacle Hill. TS1301           ,,,
Burra,13115,NSW,YARROWLUMLA,BURRA,locality (bounded),149.2208333,-35.56,State Records (TLCM),Uses GDA94 Coordinates instead of WGS84,A locality beside the watercourse of Burra Creek. Located about 8km EN E of Williamsdale and 22km S of Queanbeyan. Now an address locality.   Boundaries within Yarrowlumla Council area shown on map GNB3822.       ,,,
Burra,13116,NSW,YARROWLUMLA,KEEWONG,trig station,149.1866667,-35.60388889,State Records (TLCM),Uses GDA94 Coordinates instead of WGS84,A minor trig station situated on Mount Burra about 6.5 km SE of Willi amsdale.          ,,,
Burra,13117,NSW,LACHLAN,BURRA,parish,147.0011111,-32.39833333,State Records (TLCM),Uses GDA94 Coordinates instead of WGS84,A lands administrative division.           ,,,
Burra,13118,NSW,TUMBARUMBA,BURRA,parish,148.0511111,-35.865,State Records (TLCM),Uses GDA94 Coordinates instead of WGS84,A lands administrative division.           ,,,
Burra,115403,VIC,SWAN HILL RURAL CITY,,parish,143.2606964,-34.91930389,Australian Gazetteer,,"official; 143.260694444444, -34.9193055555555",,,
Burra,151844,QLD,,,railway station,145.1858333,-20.73388889,State Records (ANPS),,"Alternative Name: --; Location: 145°11'09"" E, 20°44'02"" S; QLD Comments: --; Unapproved; Current",,,
Burra,430120,SA,Out of Councils,OH(Woodroffe),locality (unbounded),131.478905,-26.31024266,State Records (ANPS),,,,,
Burra,436517,SA,The Regional Council of Goyder,Kooringa,locality (bounded),138.9309797,-33.66998561,State Records (ANPS),,,,,
Burraga,13171,NSW,EVANS,BURRAGA,parish,149.5677778,-33.89833333,State Records (TLCM),Uses GDA94 Coordinates instead of WGS84,A lands administrative division.           ,,,
Burraga,13172,NSW,EVANS,JEREMY,trig station,149.6219444,-33.9425,State Records (TLCM),Uses GDA94 Coordinates instead of WGS84,A trig station about 900m ENE of Thompsons Creek and 3400 m W of Isabella Cemetery. TS1304          ,,,
Burraga,13173,NSW,EVANS,JEREMY,village,149.5344444,-33.94833333,State Records (TLCM),Uses GDA94 Coordinates instead of WGS84,A village about 40 km SW of Oberon on the southern side of Thompsons Creek.          ,,,
Burraga,13174,NSW,EVANS,JEREMY,locality (bounded),149.5344444,-33.94833333,State Records (TLCM),Uses GDA94 Coordinates instead of WGS84,An address Locality    Boundaries and names in Evans Shire shown map GNB3763.       ,,,
Coolgardie,18339,NSW,BALLINA,PIMLICO,locality (bounded),153.4594444,-28.915,State Records (TLCM),Uses GDA94 Coordinates instead of WGS84,A locality about 3km W of Pimlico Island and about 2km S of Uralba State Forest.   Boundaries within the Ballina Council area shown on map GNB3731.       ,,,
Coolgardie,239155,WA,,,,121.164,-30.95287,State Records (ANPS),,"Status: Official; Location: 121.164, -30.95287",,,
Coolgardie,282794,WA,,,,120.1753,-30.94566,State Records (ANPS),,"Status: Official; Location: 120.1753, -30.94566",,,
Coorong,18694,NSW,NARRABRI,COORONG,parish,149.7511111,-29.99833333,State Records (TLCM),Uses GDA94 Coordinates instead of WGS84,A lands administrative division.           ,,,
Coorong,18695,NSW,NARRABRI,COORONG,trig station,149.7911111,-30.02361111,State Records (TLCM),Uses GDA94 Coordinates instead of WGS84,A trig. station about 11 kms E of Bibil Bore and about 12 kms ENE of Waugan Tank. TS6392.         ,,,
Coorong,277898,WA,,,homestead,115.2726,-29.18431,State Records (ANPS),,"Status: Official; Location: 115.2726, -29.18431",,,
Coorong,305606,NSW,,,homestead,148.0032285,-34.0505805,State Records (ANPS),,,,,
Coorong,437017,SA,Coorong District Council,Santo,locality (bounded),139.60131,-36.11691,State Records (ANPS),,,,,
Darling Downs,92558,NSW,,,locality (unbounded),,,,,open country in Warrumbungle area,,,
Darling Downs,188588,QLD,,,,150.8333333,-27.35,ANPS Research,,"Alternative Name: --; Location: 150°49'60"" E, 27°21'00"" S; QLD Comments: Shown as Pastoral districts on The Colony of Queensland map by W. A. Tully dated 1872.  Gazetted as a Pastoral District 23 March 1868.  ; Approved; Current",,,
Darling Downs,280078,WA,,,,115.9873,-32.19267,State Records (ANPS),,"Status: Official; Location: 115.9873, -32.19267",,,
Darling Downs,302363,NSW,,,homestead,145.74646,-31.05292,State Records (ANPS),,,,,
Dunrobin,119951,VIC,GLENELG SHIRE,,locality (bounded),141.3826389,-37.53263889,State Records (ANPS),,"official; 141.382638888888, -37.5326388888888",,,
Dunrobin,156867,QLD,,,parish,146.15,-22.7,State Records (ANPS),,"Alternative Name: --; Location: 146°09'00"" E, 22°42'00"" S; QLD Comments: --; Approved; Current",,,
Dunrobin,186240,QLD,,,,146.0797222,-22.77305556,State Records (ANPS),,"Alternative Name: --; Location: 146°04'47"" E, 22°46'23"" S; QLD Comments: Named and bounded by the Minister for Natural Resources 16 June 2000.; Approved; Current",,,
Dunrobin,305664,NSW,,,homestead,146.8005635,-33.5814965,State Records (ANPS),,,,,
Dunrobin,311808,NSW,,,homestead,145.696141,-35.7234845,State Records (ANPS),,,,,
Dunrobin,409432,SA,Wattle Range Council,Killanoola,homestead,140.72444,-37.2304,State Records (ANPS),,,,,
Dunrobin,409434,SA,City of Marion,Noarlunga,locality unbounded),138.53527,-35.00892,State Records (ANPS),,,,,
Eurimba,321319,NSW,,,homestead,148.843843,-34.243174,State Records (ANPS),,,,,
