article_id,title,newspaper_id,newspaper_title,page,date,category,words,illustrated,corrections,snippet,url,page_url
100197204,FULL COMPENSATION. A TALE OF TWO HEMISPHERES. CHAPTER I.,472,The Braidwood Dispatch and Mining Journal (NSW : 1888 - 1954),4 S,22/12/00,Article,5715,Y,0,"IT is little wonder that hundreds of persons, one-time sufferers from a variety of those ailments which flesh is heir to,",https://nla.gov.au/nla.news-article100197204,http://trove.nla.gov.au/newspaper/page/10962784
100444975,GREAT HEAT & BUSH FIRES.,367,Goulburn Herald (NSW : 1881 - 1907),3,1894-11-28,Article,237,N,0,"BUSH-FIRES are playing havoc in Riverina and elsewhere. The whole of Tubbo station near Narandera has been burned, but the homestead is safe. The fire could be noticed",https://nla.gov.au/nla.news-article100444975,http://trove.nla.gov.au/newspaper/page/9510158
100489863,THE BUSH FIRES.,472,The Braidwood Dispatch and Mining Journal (NSW : 1888 - 1954),2,7/1/05,Article,2012,N,3,The Braidwood district must be considered one of the most fortunate in the State as far as the damage done by bush fires is concerned. Only in a comparatively few instances has any damage worth,https://nla.gov.au/nla.news-article100489863,http://trove.nla.gov.au/newspaper/page/10964854
100540417,"DESTRUCTIVE BUSH FIRES. OUTBREAKS AT TOWRANG, LONGREACH, AND CARRICK.",367,Goulburn Herald (NSW : 1881 - 1907),2,30/12/04,Article,575,N,1,"A DESTRUCTIVE bush-fire has been raging along the southern line from Moss Vale to Towrang, and considerable damage has been done. Mr. Banken's Lockyersleigh",https://nla.gov.au/nla.news-article100540417,http://trove.nla.gov.au/newspaper/page/9416068
100556545,THE ALBURY DISTRICT.,367,Goulburn Herald (NSW : 1881 - 1907),3,13/6/06,Article,187,N,0,"MR. LEE Minister for Works, returned on Monday from a flying visit to the electorate represented by Mr. Ball, M.L A. The Minister found the country around Albury in a",https://nla.gov.au/nla.news-article100556545,http://trove.nla.gov.au/newspaper/page/9697022
100648834,"TUMBARUMBA. Tuesday, Jan. 3.",436,The Albury Banner and Wodonga Express (NSW : 1871 - 1938),24,6/1/05,Article,276,N,1,Reports to hand show that the ravages of the recent bush fires has been more disastrous than was at first thought. The fire spread from the Alfredtown and,https://nla.gov.au/nla.news-article100648834,http://trove.nla.gov.au/newspaper/page/10844132
100648852,GANMAIN.,436,The Albury Banner and Wodonga Express (NSW : 1871 - 1938),37,6/1/05,Article,63,N,0,"Some fear has been entertained that the terrible bushfires which have been raging would extend to this neighbourhood. However, as yet this district has been fortunate",https://nla.gov.au/nla.news-article100648852,http://trove.nla.gov.au/newspaper/page/10844145
100649945,Death of Mr. E. Ingram. ANOTHER PIONEEP GONE.,436,The Albury Banner and Wodonga Express (NSW : 1871 - 1938),37,5/5/05,Article,734,N,0,"Universal regret will be expressed throughout the district (says the Wagga ""Advertiser"") by the news of the death of another pioneer, in the person of Mr.",https://nla.gov.au/nla.news-article100649945,http://trove.nla.gov.au/newspaper/page/10844826
100651471,"The Bush Fires. LARGE AREAS SWEPT. Scrubby Range, Monday.",436,The Albury Banner and Wodonga Express (NSW : 1871 - 1938),17,1/12/05,Article,408,N,0,Our correspondent writes:—The fires are still raging in and around this part. Thousands of acres of grass which the fire went around at first are now being burnt. I had the,https://nla.gov.au/nla.news-article100651471,http://trove.nla.gov.au/newspaper/page/10846008
100673410,"AMONGST THE HILLS. Hill End. Yin, Moe. Gippsland, Vic. 19/11/06.",436,The Albury Banner and Wodonga Express (NSW : 1871 - 1938),12,30/11/06,Article,541,N,1,"Dear Uncle Jeff,—We live twenty miles from the nearest railway station. Our homestead is surrounded by hills, covered with trees and bushes of all kinds. We are also surrounded",https://nla.gov.au/nla.news-article100673410,http://trove.nla.gov.au/newspaper/page/10852378
100687195,LATE DISTRICT NEWS. Hanty.,436,The Albury Banner and Wodonga Express (NSW : 1871 - 1938),28,11/2/10,Article,370,N,0,"The wheat is still coming forward freely, and about 100,000 bags are stacked in the yards. On Friday night a terrific duststorm",https://nla.gov.au/nla.news-article100687195,http://trove.nla.gov.au/newspaper/page/10902005
100695725,"Wagra. Monday, January 3.",436,The Albury Banner and Wodonga Express (NSW : 1871 - 1938),3,7/1/10,Article,618,N,2,"The Christmas of 1909 will long be remembered here for its bush fire and heat, and in welcoming the New Year we can only hope it will be so prosperous that the",https://nla.gov.au/nla.news-article100695725,http://trove.nla.gov.au/newspaper/page/10901740
100826080,IMPROVEMENTS IN MODERN HORTICULTURE.,366,The Goulburn Herald and Chronicle (NSW : 1864 - 1881),3,1865-12-23,Article,538,N,0,"THE HYDROPULT.—Although this invaluable garden implement has now been some time in extensive use in Britain, we do not hear of its being brought before the Australian",https://nla.gov.au/nla.news-article100826080,http://trove.nla.gov.au/newspaper/page/9704358
100844348,BUNGENDORE.,366,The Goulburn Herald and Chronicle (NSW : 1864 - 1881),2,1874-12-30,Article,524,N,0,"THE LATE ELECTION.—Exactly at none o'clock on last Wednesday Mr. J. B. Burke, returning-officer, accompanied by the scrutineers for Messrs. Wright and Forster, and poll-clerk, took up their respective",https://nla.gov.au/nla.news-article100844348,http://trove.nla.gov.au/newspaper/page/9461539
100872215,THE FARM.—NOTES ON THE MONTH.,366,The Goulburn Herald and Chronicle (NSW : 1864 - 1881),2,1867-01-12,Article,1138,N,0,"ON the subject of the action of manures upon the soil, various and apparently contradictory accounts reach us. It is evident that the discrepancy must arise solely from",https://nla.gov.au/nla.news-article100872215,http://trove.nla.gov.au/newspaper/page/9462833
101097042,"THURSDAY, JANUARY 18.",366,The Goulburn Herald and Chronicle (NSW : 1864 - 1881),4,1872-01-20,Article,3637,N,44,"Before the police-magistrate. Three drunkards were discharged. POLICE-OFFICE ROSTER.—January 22nd, J. Hayes and W. F. Hayley, Esqs.; 24th, S. M. Morton,",https://nla.gov.au/nla.news-article101097042,http://trove.nla.gov.au/newspaper/page/9703296
101480626,A TRIP ACROSS THE AUSTRALIAN ALPS.,366,The Goulburn Herald and Chronicle (NSW : 1864 - 1881),7,1868-01-11,Article,2372,N,0,"IN the hot summer months, when everything is parched and dried up on the low lands, when bush-fires, rage, and hot winds, reign triumphant, the Snowy Plains of the",https://nla.gov.au/nla.news-article101480626,http://trove.nla.gov.au/newspaper/page/9514074
101490900,ILLAWARRA. CHAPTER V.,361,"The Kiama Independent, and Shoalhaven Advertiser (NSW : 1863 - 1947)",1 S,1875-06-10,Article,2715,N,0,"The Experiences of an ""Emigrant Mechanics""—His sketch of Illawarra—A bushfire—Descent of the Pass—Gerraghty's hut—Route to the Lake—A cabbage",https://nla.gov.au/nla.news-article101490900,http://trove.nla.gov.au/newspaper/page/9443351
101579347,BUSH FIRES.,463,The Burrowa News (NSW : 1874 - 1951),6,7/1/10,Article,1485,N,0,"Bush fires have been common throughout the State during the last three weeks, and, of course, the hotter and windier the day the greater the",https://nla.gov.au/nla.news-article101579347,http://trove.nla.gov.au/newspaper/page/10928467
101830923,"THE Wagga Wagga Advertiser. ""This is true [?] when freeborn men. Having to advi[?] public, may speak free."" MIL[?] THURSDAY, MARCH 23, 1893. PREVENTION OF BUSH FIRES.",413,Wagga Wagga Advertiser (NSW : 1875 - 1910),2,1893-03-23,Article,1028,N,0,"IN view of the havoc wrought by bush fires during this season, Mr. Gormly's question to the Government on the subject, published in last issue,",https://nla.gov.au/nla.news-article101830923,http://trove.nla.gov.au/newspaper/page/10653519
101857955,"Disastrous Fire in Victoria. MILES OF FENCING DESTROYED. TOWNSHIPS SURROUNDED. MANY HOUSES BURNED. MELBOURNE, SUNDAY.",413,Wagga Wagga Advertiser (NSW : 1875 - 1910),2,31/12/01,Article,650,N,0,The fierce heat and abnormal duststorm which were in evidence in Melbourne on Saturday morning appear to have been experienced in an intensified degree in the,https://nla.gov.au/nla.news-article101857955,http://trove.nla.gov.au/newspaper/page/10656210
101858872,"Bush Fires in the Tumbarumba District TUMBAUMBA.,FRIDAY",413,Wagga Wagga Advertiser (NSW : 1875 - 1910),2,1892-02-16,Article,129,N,0,"BUSH fires are raging furiensiy here. Mr. [?] woolshed, the homestead yards, fences, and grass have been burnt completely by a bushfire on his land south of the",https://nla.gov.au/nla.news-article101858872,http://trove.nla.gov.au/newspaper/page/10657024
101917290,ITEMS OF NEWS.,413,Wagga Wagga Advertiser (NSW : 1875 - 1910),2,1880-02-10,Article,3608,N,3,"On Saturday morning last the high wind which had prevailed throughout the week blew in gusts, raising clouds of dust, which made outdoor exercise anything but",https://nla.gov.au/nla.news-article101917290,http://trove.nla.gov.au/newspaper/page/10789166
101945849,FROM KURRAJONG BILL TO OURA AND BACK.,413,Wagga Wagga Advertiser (NSW : 1875 - 1910),3,1887-12-15,Article,1582,N,0,I AM pleased to have it to record that the greater the number of squatters to whom I have spoken on the subject are unanimous in their verdict of the Shearers' Union. It,https://nla.gov.au/nla.news-article101945849,http://trove.nla.gov.au/newspaper/page/10652067
102218245,THE GENII of the VANGUARD. [All Rights Reserved.] CHAPTER V. MOUNT YATNA : AN EDEN IN THE WILDERNESS.,367,Goulburn Herald (NSW : 1881 - 1907),6,1899-11-24,Article,5003,N,2,"""THERE must be a slip-panel or a gate somewhere about,"" said Will. ""If that blackboy gets home first I suppose some of the station people",https://nla.gov.au/nla.news-article102218245,http://trove.nla.gov.au/newspaper/page/9458470
103373721,SHEEP-BREEDING.,463,The Burrowa News (NSW : 1874 - 1951),4,1875-02-13,Article,5370,N,9,"At the usual monthly meeting of the Agricultural Society of New South Wales, held in Sydney on the 3rd instant, the following paper was read by Mr. John Smith, of Llanarth, Bathurst:—",https://nla.gov.au/nla.news-article103373721,http://trove.nla.gov.au/newspaper/page/11321839
103507757,TRUE TILL DEATH. [Written for the Goulburn Herald.],367,Goulburn Herald (NSW : 1881 - 1907),4,1884-11-13,Article,4587,N,0,"THE hot Australian sunshine was streaming down upon the parched earth, burning up the last dry herbage in the bare paddocks, drying up the last yellow puddies of water",https://nla.gov.au/nla.news-article103507757,http://trove.nla.gov.au/newspaper/page/9702513
103812801,CASE OF SUNSTROKE AND CURE.,366,The Goulburn Herald and Chronicle (NSW : 1864 - 1881),2,1881-01-24,Article,4316,N,2,"On the 18th instant a man named Michael Mahon, in the employ of Mr. C. Roberts of Mayfield, was brought into the Goulburn hospital suffering from a severe",https://nla.gov.au/nla.news-article103812801,http://trove.nla.gov.au/newspaper/page/10131436
103834824,FULL COMPENSATION. A TALE OF TWO HEMISPHERES. CHAPTER I.,448,The Cobar Herald (NSW : 1899 - 1914),4 S,22/12/00,Article,5660,Y,1,"is little wonder that hundreds of persons, one-time sufferers from a variety of those ailments which flesh is heir to,",https://nla.gov.au/nla.news-article103834824,http://trove.nla.gov.au/newspaper/page/11538980
104045825,News in Brief.,413,Wagga Wagga Advertiser (NSW : 1875 - 1910),1,3/12/03,Article,1342,N,0,"The estate of the late Mr. F. A. Wright (Wright, heaton and Co.) has been valued for probate purposes at £39,463 15s. A boy named Stanley Hewiah, aged 10,",https://nla.gov.au/nla.news-article104045825,http://trove.nla.gov.au/newspaper/page/10655422
104046916,"THE Wagga Wagga Advertiser. SATURDAY, JANUARY 7, 1904. THE BUSH FIRES SUFFERERS:",413,Wagga Wagga Advertiser (NSW : 1875 - 1910),2,7/1/05,Article,1074,N,0,"The State Premier (Mr. Carruthers) has to be commended, not alone for the heart sympathy he has shown with the sufferers by the devastating",https://nla.gov.au/nla.news-article104046916,http://trove.nla.gov.au/newspaper/page/10656222
