INDEX,FILE,QUOTE_TRANSCRIPTION,LAT,LNG,VERIFICATION_STATUS,COMMENT,SECOND_QUOTE_TRANSCRIPTION,Column
1,23616_22_12_1932_13_1__37693276.txt,Western Australia,-25.46584927,122.1768386,VERIFIED,,Western Australia,
2,23616_22_12_1932_13_1__37693276.txt,London,51.50853,-0.12574,VERIFIED,,London,
3,23616_22_12_1932_13_1__37693276.txt,Perth,-31.95224,115.8614,VERIFIED,,Perth,
4,23616_22_12_1932_13_1__37693276.txt,Hampshire,51.128022,-1.1731,VERIFIED,,Hampshire,
5,23616_22_12_1932_13_1__37693276.txt,England,52.3555,-1.1743,UNVERIFIED,,England,
6,23616_22_12_1932_13_1__37693276.txt,England,52.3555,-1.1743,UNVERIFIED,,England,
7,23616_22_12_1932_13_1__37693276.txt,Western Australia,-25.46584927,122.1768386,VERIFIED,,Western Australia,
8,23616_22_12_1932_13_1__37693276.txt,London,51.50853,-0.12574,VERIFIED,,London,
9,23616_22_12_1932_13_1__37693276.txt,Gibraltar,36.13396226,-5.349628931,VERIFIED,,Gibraltar,
10,23616_22_12_1932_13_1__37693276.txt,Tilbury,51.464195,0.358191,NOT_IDENTIFIABLE,,Tilbury,
12,23586_9_06_1933_4_XXIII. (Continued)_None_64724597.txt,Scotland,56.4907,4.2026,VERIFIED,,Scotland,
14,"24451_9_02_1928_17_15_Ch XIII, XIV_146843153.txt",Yambatilli,,,NOT_IDENTIFIABLE,Imaginary,Yambatilli,
15,23723_3_04_1932_12_VIII_Christmas Day_58660805.txt,Sydney,-33.86785,151.20732,VERIFIED,,Sydney,
16,23723_3_04_1932_12_VIII_Christmas Day_58660805.txt,Geelong,-38.14711,144.36069,VERIFIED,,Geelong,
17,23723_3_04_1932_12_VIII_Christmas Day_58660805.txt,Broome,-17.95538,122.23922,VERIFIED,,Broome,
18,23723_3_04_1932_12_VIII_Christmas Day_58660805.txt,America,51.43667,5.97917,VERIFIED,,America,
19,23723_3_04_1932_12_VIII_Christmas Day_58660805.txt,San Francisco,37.675117,122.398635,NOT_IDENTIFIABLE,,San Francisco,
20,23586_12_05_1933_4_XXI. (Continued) & XXII._None_64724521.txt,Tonga,-19.99367402,-174.8647797,VERIFIED,,Tonga,
21,23476_18_03_1931_19_None__74671570.txt,Central Australia,-19.41553057,133.3658772,VERIFIED,,Central Australia,
22,23916_9_11_1918_42_I_Defeat_22366486.txt,Southern Tablelands,-34.577953,149.939114,NOT_IDENTIFIABLE,Geographic Region,Southern Tablelands,
23,23916_9_11_1918_42_I_Defeat_22366486.txt,Wilcannia,-31.261304,143.531292,NOT_IDENTIFIABLE,,Wilcannia,
24,23916_9_11_1918_42_I_Defeat_22366486.txt,Sydney,-33.86785,151.20732,VERIFIED,,Sydney,
25,23916_9_11_1918_42_I_Defeat_22366486.txt,Shoalhaven River,-34.998333333333335,150.08444444444444,NOT_IDENTIFIABLE,,Shoalhaveu River,
26,23916_9_11_1918_42_I_Defeat_22366486.txt,Pig Island,-36.065,150.06777777777776,NOT_IDENTIFIABLE,,Pig Island,
27,23916_9_11_1918_42_I_Defeat_22366486.txt,Broughton Creek,34.782885,150.714633,NOT_IDENTIFIABLE,,Broughton Creek,
28,23916_9_11_1918_42_I_Defeat_22366486.txt,Sydney,-33.86785,151.20732,VERIFIED,,Sydney,
29,23916_9_11_1918_42_I_Defeat_22366486.txt,Sydney,-33.86785,151.20732,VERIFIED,,Sydney,
30,23916_9_11_1918_42_I_Defeat_22366486.txt,Sydney,-33.86785,151.20732,VERIFIED,,Sydney,
31,23916_9_11_1918_42_I_Defeat_22366486.txt,Sydney,-33.86785,151.20732,VERIFIED,,Sydney,
32,23916_9_11_1918_42_I_Defeat_22366486.txt,Sydney,-33.86785,151.20732,VERIFIED,,Sydney,
33,24450_25_02_1928_64_13_Chapter XIII  _165637767.txt,Yambatilli,,,NOT_IDENTIFIABLE,imaginary,Yambatilli,
